#separator:tab
#html:true
#guid column:1
#tags column:4
"B-N|kF-#aW"	-(r)on; -or	agental suffix (suf)	
k0l);my>xw	pessa-	to affect; to concern (vb)	
iw>mu3UU*$	pesseg	pillow (n)	
G2px-}zcJ-	pichen	juicy; *oozing (adj)	
xsbJW_o[,J	pigen; tithen	tiny (adj)	
nwk]gi)cqP	post	cessation; halt; pause; respite; rest (n)	
P!$9I/|hw^	presta-	to affect; to disturb; to trouble (vb)	
M=kZS*chbl	prestannen	affected (of vowels); mutated (adj)	
OodkKb`Kyo	prestanneth	affection (of vowels); mutation (n)	
uh6>9^JS@0	puig	clean; neat; tidy (adj)	
s~)@laxmUp	pân (n)	fixed board (especially in a floor); plank (n)	
nUL5,3t,,u	pôd	animal’s foot (n)	
j,Q1Zm]QQ5	rada-	to find a way; to make a way (vb)	
NPOGqRkMq}	ram(m)as	great wall (n)	
v7<iKR*TFZ	rath	river-bed; track (n)	
"dD/(cv%1#L"	rhofan	wilderness (n)	
B<tE]Bqz)|	roch	(swift) horse (n)	
NE{aQ4=n<l	rosta-	to excavate; to hollow out (vb)	
x]8CIX]L6F	rû	loud sound; trumpet-sound (n)	
g^/BhZ)I)y	salab	herb (n)	
f$,?NrY*.L	sarn	(small) stone; gem[stone]; pebble; stone as a material; stony (place) (n adj)	
wSB~=WPd{>	sarnas	cairn (n)	
nNK4v5wto5	sautha-	to drain (vb)	
cFu`d_^dHe	saw (Food and Drink)	juice (n)	
LA`0aB2%s`	sigil (Physical Acts and Materials)	dagger (n)	
ozWfF6,b?$	silef (adj)	shining white; silver (adj)	
O2b9u5R}Z+	silith	light of Silpion; *moonlight (n)	
CQ(Rb!y0i	siniath	news; tidings (n)	
FQuem$u(^O	sinnarn	novel tale (n)	
f1wPxhrxCK	siria-	to flow (vb)	
k8iD>44_Mw	sog-	to drink (vb)	
OVh_%wgG~2	solch	root (especially as edible) (n)	
Nkvz-(<5T@	sîdh	peace (n)	
E!CAsu5UuB	sûl (Food and Drink)	goblet (n)	
Fx=<Kp0/NZ	taen (adj)	long (and thin) (adj)	
cA>H1C:@R-	taen (n)	summit of high mountain (n)	
Q@dDa-x_ae	taes	nail (n)	
A~^*(f@[Dd	taetha-; tag-	to fasten (vb)	
df<S|Od].9	taew	clasp; hasp; holder; socket; staple (n)	
ohNEN5}$x5	talad	incline; slope (n)	
e3b6^&dq)q	talaf	ground (n)	
mF4DEL4ICt	talt	falling; insecure; slipping (adj)	
z58tH[N3s6	tamma-	to knock (vb)	
LU*vg_x!Y/	tanc	firm; settled; steadfast; steady (adj)	
eu;}HPgbnD	tangad(a)-	to confirm; to establish; to make firm (vb)	
I*.mrlS8MJ	tang	bowstring (n)	
w)9$Dqt-);	tarag	horn; steep mountain peak (n)	
entb8-OQuF	tara	stiff; tough (adj)	
nk)x1RdcYW	tarias	difficulty; stiffness; toughness (n)	
n6NJC~v.+w	tass	labour; task (n)	
I=$Sk1%}9Y	taur (adj)	awful; high; huge; overwhelming; sublime; vast (adj)	
ltv9ce6Y*}	taur (n)	dense wood; forest; great wood (n)	
xf]ym5N_sC	taus	thatch (n)	
YQ)F)fYfh	tavor	knocker; woodpecker (n)	
w}=tuR4e3s	taw (adj)	of wool; woollen (adj)	
sk/QUQ14yf	tawar	wood (material); woodland; *forest (n)	
k:eKaYtkVf	telch	stem (n)	
Pn&b5PCE!a	tele	hindmost part; rear (n)	
loel)5I$HC	telien	game; play; sport (n)	
g*(Dhlv-Xs	telu	dome; high roof (n)	
j<7u-.JSZn	tess	fine pierced hole (n)	
m|wfvK~_bo	thala	firm; hardy; stalwart; steady; valiant (adj)	
LLfcxI{QhM	thalion (n)	dauntless man (n)	
ji+4]YzY?}	thamas	great hall (n)	
"s)`z#y2:pL"	thang	compulsion; duress; oppression; pressure (n)	
rRAoR>D`qS	tharas	footstool; hassock (n)	
i]HUU}xRUE	tharn	rigid; sapless; stiff (adj)	
GNM$I`{qm	thavron	builder; wright (n)	
GhuV;>XhYh	thaw	corrupt; rotten (adj)	
iFRJ9&VXB&	thela	point (of spear) (n)	
h*a$(@GK~L	thilia-	to glisten (vb)	
v=iOjfb*h$	thilim	gleaming (adj)	
iqS*Wo8=.+	thinna-	to fade; to *(lit.) become grey (vb)	
oCiFKwc!S!	thonnas	root-word; *foundation (n)	
z2C.2la>_s	thonn	base; root; root-word (n)	
"mV#C.A.(9`"	thora-	to fence (vb)	
ObxZK>)>9d	thoren	*fenced (adj)	
j+,B9ql>;S	thosta-	to stink; to *give off a smell (vb)	
s<10bWW_*6	thost; ûl	smell (n)	
"CS,nkCGn#F"	thuia-	to breathe (vb)	
J(WOJ;-e?+	thâr	stiff grass (n)	
ypr7TqU=@~	thîr	countenance; expression; face; look (n)	
FSoi-@Km*{	thôr	leaping down; swooping (adj)	
DjA&I5VRba	thûl; whest	breath (n)	
E}ZC=Yx~nO	till (Body Parts and Functions)	horn (n)	
CqFW8=U22o	tinna-	to glint (vb)	
j!!CKqU-MC	tirion	tower (n)	
"EJ%hIVbj#z"	tiwdi	alphabet (n)	
tq{dywRVwM	toba-	to cover; to roof over (vb)	
r7-UU)xsiF	tobas	roof; roofing (n)	
mWA|7Y5F$r	tog-; toltha-	to bring (vb)	
l`E&h:EDNJ	tolog	stalwart; trusty (adj)	
HXly!zsQV}	toltha-	to carry; to fetch (vb)	
"BE][{MEwI#"	tong	resonant (of strings); taut; tight (adj)	
sIqdK*;38*	tortha-	to control; to wield (vb)	
c0+0q!=Ay5	toss	bush; low-growing tree (n)	
EP1SZlf>-A	trasta-	to harass; to trouble (vb)	
L~x_A6I5u)	tre-	through (pref)	
uVfHS|cF$D	trenar-	to recount; to tell to the end (vb)	
Ge7x-7t}h:	trenarn	account; tale (n)	
CQB+5zF!<_	trevad-	to traverse (vb)	
f7u8^_34V5	trîw	fine; very slender (adj)	
nSb{9q3O?z	trî	through (prep)	
J$9@m6ubOK	tuia-	to spring; to sprout; to swell (vb)	
c8_n5H,Dd}	tuilinn	swallow; (lit.) spring-singer (n)	
r0sSXllni+	tui	bud; sprout (n)	
rz4Jz-a0|8	tulus	poplar-tree (n)	
oj4rm~=1ma	tulu	prop; support (n)	
ED:.[:-Inj	tump (Physical World)	hump (n)	
y>;c3LM0Pw	tê	line; way (n)	
EC,pRj)D&C	tûg	fat; thick (adj)	
yE<1OS<$?_	tûr (Warfare and Hunting)	mastery; victory (n)	
wovvQ_EBX$	tû	muscle; physical strength; sinew; vigour (n)	
h&!&q|zb;v	uanui	monstrous (adj)	
QN(/Il/A8k	ubed	denial (n)	
da{!V.G4Zk	gwoe	envelope (n)	
bJsg=uhSmb	uir (n)	eternity (n)	
6`%nzT!le	ul-	*ugly (pref)	
H`|}{>=DfE	uluithiad	unquenchable (adj)	
w=M:LQ`%|l	uvan	nobody; *noone (pron)	
lZuuMD*%>F	êg	thorn (n)	
ydMLlv&dOh	îr	*sexual desire (n)	
D|e>[DN,Y[	ôl	dream (n)	
wxY=3d|/96	ulunn; úan	monster (n)	
JAd;A7Zk!Q	ûl	odour; scent (n)	
Iy`dMzOE{)	ûn	creature (n)	
P;tsA:5MyP	falch; riss	cleft; ravine (n)	
"n#I#jb?Q*6"	lîr; tî	line; row (n)	
OZG1>.i~hB	go-; gwa-	co-; com-; together (pref)	
jHLU:qQX;q	ad-	again; back; re- (pref)	
"u?/$~#h:fI"	ain	identical; same (adj)	
"c*#>uO%OG;"	tolol	approaching; coming (adj)	
PeK..@gf=f	na (Spatial Relations)	at; to; towards (prep)	
G1boAu(.!=	bar [mb-]; bâr [mb-]	dwelling; home; house (n)	
cn[-7:0Kaa	bár	earth; home (n)	
Gz}cfy6Ym9	cîr; cîw	fresh; new (adj)	
kK4z{S+-L-	dolen; thurin	hidden; secret (adj)	
MiEQ*hEuJ2	duwath	dark/black shadow; night shadow (n)	
"v`|P#);xRM"	dúath	dark/black shadow; night shadow; night-shade (n)	
"O&#/Z$m={Z"	ereg; eregdos	holly; holly-tree (n)	
gQb!]?:9~)	eru	desert; waste (n)	
u$XRwB.P8:	est; eth; is	3rd sg. pronoun; she (pron)	
d7%KS=k-Za	gail	bright; light (adj)	
p>[sOXRvWy	gŷl	conceiving; fecund; having conceived; just pregnant (adj)	
h%evm,|[:.	gonn (Physical World)	stone (as a material) (n)	
"A^#|Q*Is)v"	gweleth; ordh	boil (n)	
"oS%7#86lxx"	gwend	maiden; *young woman (n)	
"B.HdEn#_;s"	liss (adj)	fragrant (adj)	
mSp{zx<-Lm	lû	occasion; time (n)	
h`EqFR|/,G	mell	beloved; dear (adj)	
"O*)d`%(G<#"	morn (adj n)	black; dark (adj n)	
Ee[J^Dru<D	nadh-	to chew; to gnaw (vb)	
e$CcE[ux?w	nef	hither; on this (the speaker’s) side of (prep)	
JynUnIaD/.	nifred; niphred	pallor (n)	
G-|J$v(1E%	ribin	edged; striped (adj)	
K;/oZ$tJuG	sam	chamber; room (n)	
gHLabzTVmL	lhind	fine; slender (adj)	
G/AjUN<>~~	lhossa-	to rustle; to whisper (vb)	
O)nI?XtCS7	tham	hall (n)	
BH-/P2irCf	a-	intensive prefix (pref)	
Ka.`[TpxxM	asg	bone (n)	
jGt85bfw[s	lann (adj)	broad; wide (adj)	
NMaaH^s|z=	lî; rim	people (of one kind or origin) (n)	
hkFkr26:LP	men (n, Motion and Transportation)	road; way (n)	
u!n%;t_qY	ost	(fortified) town; [orig.] enclosure; citadel; city; fort; fortress; stronghold; town (with wall round) (n)	
Na;ede>ZO,	rim (Quantity and Number)	crowd; host (n)	
"MyP=~)#{pF"	taru	cross; *crucifix (n)	
fB*v:i{H9q	tîr	esteem; honest; honour; regard; right; straight (adj)	
H7`]OfyPlH	aetha-	to besiege [with o(h)]; to narrow (intr.) (vb)	
N2iV(fB=Ud	aethad(a)-	to (make something) narrow (vb)	
rArpWpp?+q	aethas	siege (n)	
n]9US5;b90	amrûn	Orient; east; sunrise; uprising; (lit.) of the uprising (n)	
u7x&JY=PBM	angab-	to assail; (lit.) towards-leap (vb)	
"d(S#ky-(-$"	annor-	to assault; to attack; (lit.) towards-run (vb)	
o<vm-]g:cY	athraweth-	to communicate; (lit.) to inform to and fro (vb)	
c?[QAUx*B@	feleitha-	to excavate; to mine; to tunnel (vb)	
BtuW%iX|l5	for-	north (pref)	
mF5x|E`k9*	gobab-; pasta-	to shake (vb)	
Hm9JAaC/s`	lach-	to kick (vb)	
K]s@$S=w(q	laud	motion of the sea; tide (n)	
Ol}M=5GVg&	mengyl	messenger; (lit.) message-bearer (n)	
g~&AS&.FBW	methen	end; final (adj)	
I)vv~ldFrP	meth	end; last (n adj)	
pUq~}}(Es<	-in	plural suffix (suf)	
"c#*NNH(6:1"	-iof	-bearing (suf)	
z$FV?*vx9)	abor (adj)	close behind (of place); following; next behind or after (time or place); succeeding (adj)	
k,+.D)1f03	anwen	approach; avenue (n)	
K>9J)tV};-	cirban	[ship] haven (n)	
pW!sWLV*g2	ciriaeth	shipwright (n)	
oFwGI&X0tY	cýranor	new sun after solstice (n)	
kgRh4pY<n=	dertha-	to complicate; (lit.) to make difficult (vb)	
uJSK@c5T`E	drogol	cart (n)	
j*Lo$LI:]y	drô	rut; wheel track (n)	
nc:taQzl_}	estelia-	to hope for; to trust in (vb)	
Ie9ge7}(FP	ethol-	to come forth; to come out (vb)	
BD$tfQ5*g[	ger	[unrefined] metal; ore (n)	
c^or^&:LP=	glandor	boundary land; march; mark (n)	
mCk`li4C~(	gwelf	aircraft [general term] (n)	
G}25<jQ=ir	gwilchair	airplane (n)	
Oy%/CiYZQd	helia-	to exalt (vb)	
cI3^J3EJ*<	hond	(emotional) heart; (seat of the) deepest feelings (n)	
nAv<FK*c*U	hîm	beer (n)	
K>nV9m&S+F	lhog-	to swallow (vb)	
gO{5Gf>O2>	lond; lonn	(land-locked) haven (n)	
DN_thy)@t!	lonn; râd	pass (n)	
i^<KYOc]TC	mîn (prep n)	anything intervening between two other things; barrier; between; gap; space (prep n)	
dO?{t-n2?[	nachav-	to summon (vb)	
lW<M1KY(&P	nidh-	to intend; to mean to; to will (vb)	
B;7^W;m{e!	senu	common; usual; *ordinary (adj)	
yrzgVq{X|I	talphad	footstep (n)	
w7)YEtGDtB	tenu	compass (n)	
t4K&M{Nd;^	thol-	to roll (vb)	
z!?ZWr4.tG	tholos	axle [of a wheel] (n)	
eIGL)=G.2;	balt	force; might (n)	
y`W0Vpfv_%	brunnad	artefact (archeology); artifact; relic (n)	
P8%f1=ZztQ	bôr (n)	heat (n)	
"Q+r*#^~mNW"	carrant	strategy; tactics; (lit.) action-course (n)	
"l6we1q37u#"	cathr; thavron	carpenter (n)	
uB~I|D2A3|	cirgarvas	shipyard (n)	
w)-%o@/oXR	dúvechuior	nocturnal animal; (lit.) night-waker (n)	
"I#v,|`>*+T"	eg-	may; to have a chance of (vb)	
EU=SR2=wV{	gwaelod	wind feather (n)	
md=NujALj9	gêl; nîr	weeping (n)	
"ew2#<MNDqk"	harf	left hand (n)	
htyDNj%F7B	whal-	to wash (vb)	
Rd6mb+`gwI	whalath	bathing; washing (n)	
O(yCz{%woN	hûl (Mind and Thought)	secret (n)	
y-FR/?eC10	ioron	old man (n)	
QkkLv~KIEc	ledhu	departure; leaving (n)	
g?OMFT`G1&	lemas	remains of a destroyed construction; ruin (n)	
gFk6fc$B^9	lhinc	earthworm (n)	
G`3;oX0gmM	lhoss	whispering or rustling sound (n)	
Lh41nXIf[I	lhuida-	to envenom; to fill with poison; to poison (vb)	
s*USxx4ZQv	liss (n)	soft (n)	
uA,Y^_9xxM	mívi	v derived from m (n)	
"z8m(#ciZ`W"	nuithas	cessation; suspension (n)	
x8VR.mVqr;	rhaw (adj n)	untamed; wild; wild beast (adj n)	
q6nn,[ynex	tôn	*tap (n)	
v-;zb&eq`u	uimallen	ever-golden (adj)	
"sK#@!-;@=R"	authrogol	chariot; (lit.) war-cart (n)	
ETh8a;Zv7,	gond	stone (as a material); stone (general as a substance or material) (n)	
BluIT(ns=w	gôn	stone (a stone or a single thing made of stone) (n)	
yM@@FBU,c6	míleb	romantic (adj)	
uU<:Hv4%a8	tachl	(large) pin; brooch (n)	
Lq`Hfb`7H&	whall	washed (adj)	
g6Sq]%3TXE	whest	breeze; puff (n)	
r:p3aEeo(>	ammad-	to devour (vb)	
"yX&#@QHAaT"	feitha-	to destroy; to ruin; to spoil (vb)	
cxE=E~oS-i	feithor	destroyer (n)	
LNopvom:!V	limloth	hyacinth (n)	
LxzDw%W^-/	manga-	to grab; to hold; to *grip (vb)	
nW*6U0telu	nedia-	to count; to number (vb)	
"kbpH<#V:le"	ranga-	to embrace (vb)	
"e5yvN6b#Sg"	rangoth	embrace (n)	
b~~ks;F1p+	ruindol	Delonix regia; flame of the forest; flame tree; peacock flower; phoenix flower; royal poinciana; (lit.) blazing-head (n)	
OP)C2Jvld2	achad-	to remake; to reshape (vb)	
G>pG$hy&Yx	amhir	upstream (adv)	
q6Kq$x?@(/	bar telien	gymnasium; (lit.) house of sport (n)	
ni=l!3T]UN	dadhir	downstream (adv)	
"q?n~#F4OUp"	dîn (Spatial Relations)	silence (n)	
oKd5nWa?{e	levn	bundle; sheaf (n)	
qWpCE/)eV}	noriod	automobile; car; (lit.) run-machine (n)	
IF;-7PzE/C	odh(o)r	parent (gender neutral) (n)	
JdYJ||a@%3	talch; tîr	upright (adj)	
v(Bw3,[-H8	am (adv pref)	up; upwards (adv pref)	
qih{$G9BEq	baugla- [mb-]	to oppress; to *constrain (vb)	
J}4z-yLB*:	borg; daer; iaun	large (adj)	
s23Ftr796e	edos	close by; just without (prep)	
"jI8q`#)X`6"	forgam	righthanded (adj)	
dY6]YS-dEB	grith-	care; care for; mind; tend; to attend to (n)	
Nb|Ne_Ya2.	grith	affection; attention; care (n)	
GF&(xg4rN+	gwahae	*far away (adj)	
wpN9J-tyOK	gwa	away (adv)	
FS;e?qvnG(	hargam	left-handed (adj)	
KQKDcKhOtL	hesta-	to command; to order (vb)	
JBqx[s0B~F	nabor	booty (n)	
qNp.<oMt@_	o (Grammar)	concerning; *around (prep)	
z{~yns:dn9	o (Spatial Relations)	from (prep)	
I|Z)**[N7%	redrath	ladder (n)	
uom8*<>]t)	tovadol	tomato (n)	
