#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
d?yGN=!t2Q	tiquilindëa	slushy; thawing (adj)	
y%k]+2NP&I	tiquilin	melting snow; slush; thaw (n)	
BjQP]yk7g4	tiquilë	melting; thaw; thawing (n)	
n^18q?TdD{	tir-	to gaze; to guard; to heed; to look (at); to observe; to watch (over) (vb)	
J(rFt%7uZS	tirila	watching (something) (adj)	
pJuik=]Ryt	tirion	(great or mighty) tower; watch-tower (n)	
s8ZyFm>GCB	tiris (tiriss-)	vigil; ward; watch (n)	
furC0[D]Sd	tirista	guard; *watch (n)	
Btp3IPk,KQ	tirma	spyglass (n)	
wA>1,Vs1lG	tirmen	observatory; theater (n)	
vl$^RMdma)	tirmo	watcher (n)	
ztNE>7Sw8&	tirmë	stare; steadfast regard; *gaze (n)	
bv58]fh:9$	tirítë (tiríti-)	vigilant; watchful (adj)	
vnm&~WZ&RK	titinwë	small star; sparkle of dew; *small sparkling thing (n)	
t_`NcnD&sA	tittë	breast [of a woman] (n)	
4oN6zVpw^	tiucata-	to fatten; to feed up (vb)	
vKEn=0w%/Y	tiuta-	to comfort; to confirm; to console; to corroborate; to *(orig.) to make firm (vb)	
K5j(n46T%C	tiutaila	comforting; consoling; easing (adj)	
A}PvrYy5|H	tiutalë	comfort; confirmation; consolation; easement (n)	
wO.6u9!Q>p	tixipi	ladybug; (lit.) insect of [many] dots (n)	
r1o$:s+J$L	tië	direction; line; path; road; route; way (n)	
Ll959N?5-v	toc- (Possession and Trade)	to appraise; to assay; to assess; to tax (vb)	
"w:5C=/O2#)"	tocot	cock; *rooster (n)	
L3=1c):5w0	toina	made of wood; wood; *wooden (adj)	
Qs$%rpMNp4	tolbo	big toe; stub; stump (n)	
onY|04$]H(	tolipincë	little doll (n)	
J4(-9RKOL~	toli	doll; puppet (n)	
r1GHA%C0,v	tollesta	archipelago (n)	
"cGqcA-/9a#"	tolloquen	islander (n)	
"h2#BRQOHw_"	tolma	(short rounded) handle; knob; protuberance contrived to serve a purpose (n)	
*A0sz_-<Z	tolmen (tolment-)	boss (of shield); isolated round hill (n)	
y(@6GDQB*l	tolpo	bowl (n)	
v,A({2dqpV	nahta; tolquë	eighteen (cardinal)	
cg}^zZ:&S!	tombo	gong (n)	
i(}wW:}]=W	tompa-	to bang; to *drum (vb)	
Ph)i*RRqBj	tompo-tompo	noise of drums (or guns) (n)	
iF:!C/5/]u	tomya-	to resonate (of shorter sounds) (vb)	
"ek#&))~*Y]"	tontilla	cymbal; *tambourine (n)	
Iuw}v@M0U|	tornanga	hard-iron; iron hard; *steel (adj n)	
"g0~s&bH#f?"	torna; urda	hard (adj)	
ieupoP9:FA	totonna-	to type (on computer/phone) (vb)	
h_XP2KoHR?	to	above; in; on (prep)	
E1G=~S?k(2	tucië	drawing; pulling (n)	
n;Z(2ev3/2	tuilérë	*spring-day (n)	
E~A@$fMAJq	tuista	shoot; twig (n)	
kR@192.T?L	tulca-	to establish; to set up; to *found (vb)	
LIHI8l60:I	tulla	rudder (n)	
DAf|T!uKIE	tullu-	to happen (i.e. come in time); to occur (vb)	
syZEs-&,nQ	tulta- (Language and Music)	to fetch; to send (from point of view of receiver); to send for; to send hither; (lit.) to cause to come (vb)	
PFRI*7SGA	tultaima	summonable; *fetchable (adj)	
m6[HiKxC7W	tuluhta-	to prop (up); to support; to uphold (vb)	
J*Mmi[uLUF	tulumaitië	probably (adv)	
MNX!e=gmJ]	tulussë	future tense; (lit.) coming tense (n)	
mPnBOoA|&C	tulusta	advent; arrival (n)	
cOY(R?U@n/	tulya-	to bring; to fetch; *to lead (vb)	
uG&!7?]4&i	tulyaitë	able to bring (adj)	
NQ:E|{QKM,	tulyandë	[process of] fetching (n)	
"t94PP7f#%9"	tumba-	to cast down (into depths); to endeepen; *to dive; (orig.) to go or cause to go deep (vb)	
gRO<OBrYPu	tumbalë	depth (n)	
ivYb^zXC?J	tumbo (tumbu-)	dale; deep vale; deep valley (under or among hills, with high sides); valley (n)	
DxYgf*%7_?	tumpo (Agriculture and Vegetation)	barn; shed (n)	
bhG|ibCl3=	tumya-	to baptize; to dip (vb)	
kG_=WgF!G8	tundo	firewood; fuel (n)	
j2`:;V)3tJ	tungwemen	tax-office (n)	
Q&q~JsdYyH	tungwemo	tax-collector (n)	
QR$~_:GGpd	tunta-	to notice; to perceive (vb)	
h*SV8)+*Wn	tuntaitë	bright; smart; witty; *perceptive (adj)	
"zgXx/#&)oJ"	tunto	notice; perception; quickness of perception; regard; wit (n)	
gIJ|Zt2JRw	tuorva	peach; (lit.) wool-apple (n)	
D8)S-Pl48f	tup-	to cover; to put a lid on; to put hat on (vb)	
"D#>Y,}$G=0"	tupattal	horse-boot (n)	
NBi,pm@x3w	tupina	covered (adj)	
J~93^3Bu9a	tupin	having a lid; having hat on; roofed (adj)	
K0NN?M6Jec	tur- (Warfare and Hunting)	to conquer; to control; to dominate; to govern; to master; to win; to *rule (vb)	
m3toPl$}^6	turca	powerful (in body); strong (adj)	
vP7sF3LRra	turco (Quantity and Number)	chief (n)	
d6%&E%CKf:	turco (Warfare and Hunting)	*stronghold (n)	
eG6*^@]=Ml	turindo	purposeful mind; strong will (n)	
o,QjvsH>63	turindura	done necessarily (adj)	
J-[woW9i|!	turmen	realm (n)	
y/Tq/X,%?o	turmë	governing power; strength (n)	
JVnozWxoad	turu-	to defeat; to have victory over; to master (vb)	
ki:8GAj88j	turutyalmë	competition; contest (n)	
n9z^3;)j)W	turwa	powerful [in a general sense] (adj)	
jYbkGxXi+2	turya-	to strengthen (vb)	
tXxbYU/;v%	turúna	mastered (adj)	
L]]a02;EZ.	tusturin (tusturind-)	match (n)	
b;6S0&AM5?	tusturë	chips; tinder (n)	
AiExf9gvN`	tutulla-	to keep on coming (and going) (vb)	
leDNk5*ep.	tuv-	to discover (vb)	
i3}nQ5nYHO	tuxainenëa	thousandth (ordinal)	
lU<dvh;[V%	tuxantur	centurion (n)	
"d#k_R`rY<K"	tuxasta	one hundredth; *one percent (fraction)	
"l#HB?@~=?x"	tuxa	hundred (cardinal)	
j^~?K|CAu1	tu	dual 3a; them (dual) (pron)	
py1^^17@Vm	tuë	fleece (n)	
v?cd/0`Kva	tyal-	to play (vb)	
AD@KB{m:ap	tyalindo	player (n)	
yUb%8UA_G9	tyalië	game; mirth; play; sport (n)	
F/^nyd|xhc	tyallas (tyalass-)	(playing) card (n)	
K&YI.qNZwL	tyalma	plaything; toy (n)	
wN)9>~4e%l	tyalmë	game (n)	
q+$K0/&NYw	tyar-	to cause (vb)	
z19O.S=G0)	tyaraitë (tyaraiti-)	effective; effectual; efficacious; productive (adj)	
q|`9O[}DqX	tyarda	result; *effect (n)	
pZH+%]oKvM	tyarwë	reason (n)	
oc&Cvhr6-x	tyas- [þ]	to choose; to pick; to test; to try [out] (vb)	
s0~?BC*qI&	tyasta-	to (put to the) test; to *verify (vb)	
Q$C[nXC)H:	tyausta	flavour; savour (n)	
iO7|;5bQ`*	tyavasta	sense of taste (n)	
"pB+{{dQ.V#"	tyelca	agile (adj)	
d_H+0|Ef=7	tyellë	grade; step (in a stairway or ladder) (n)	
OP-o{C4.9l	tyelpetéma	palatal series (n)	
jY4HIozFH4	tyelpë	silver (n)	
H6bt<>%>91	tyenya	yours (familiar) (n)	
dL_NwW3^-+	tyet-	to nurse; to suckle (vb)	
vz|b(K<Ui6	tyetsë	teat; *nipple (n)	
j2L:pg-$yR	tyocolat	chocolate (n)	
g%,]Hpu,Kh	tyos (tyoss-)	cough (n)	
KOVtjSsh$0	tyosta-	to cough (vb)	
iy86uO3k8L	tyuc-	to chew (vb)	
Bk447?/~pJ	tyulma	mast (n)	
bI+ezSVTof	tyulta-	to rear up; to stick up (vb)	
Ph^[_Q9{,E	tyur-	to curdle (blood, milk, etc.); to *congeal (vb)	
eOmRR0JUJf	tyurda	curdled (adj)	
g//T3MMLPJ	tyurmë	cheese (n)	
g09OXE<dy(	tyustyuhta-	to chew the cud; to reflect; to reminisce (vb)	
xiSQW1QGl	tyuxë	cud (n)	
AbQK,ZX;m7	tyávelassë	spice; (lit.) taste-leaf (n)	
oLoIlKjc^n	tyávë	*taste (n)	
egvA188;d/	tyéta-	to address somebody informally using tye (vb)	
QTm%5ocEJ*	tál (tal-)	bottom; foot; lowest part (n)	
A,n_J1XR*U	táris(së)	queenship (n)	
n3sH{:u|H(	tárië	height (n)	
q)&9bZ&u5Y	táva	great tree (n)	
G~?&IWnIl8	téma	line; row; series (n)	
y`U;k}YMlg	térata-	to straighten (vb)	
"QlS2/|xW2#"	tératië	correction; (lit.) straightening (n)	
Cy6Z3`n9Aq	tenta-; tëa-	to indicate (vb)	
kUAk4Czu>B	tëalë	meaning (n)	
Fh;SS9fozu	tëangolmë	semantics (n)	
DGdOO9(tqd	tírima	able to be watched; observable (adj)	
MrNN&ClTnq	tótal	sock; (lit.) wool-foot (n)	
FNLFXrt%p%	töallë	blanket (n)	
Bi~wP0jsBF	töasta	grove (n)	
l>L1j=YciU	töa (n)	wood (as material) (n)	
el.WNh_~}W	túpelë	roofing; tiles (n)	
bJ-Tn4[Dj7	túpo	cover; lid (n)	
P;Vo|=:]QX	túra	great (adj)	
m4y--J}5CH	túrion (túriond-)	court; palace (n)	
fAIVis{xP<	túrëa	masterful; *having political power (adj)	
M*E+^+@*1T	túvima	discoverable (adj)	
KCG.q.Xj0m	uhta-	to avoid as painful or nasty; to feel disgust with (vb)	
"v#E;-Wm_A^"	uito	it is not that (interj)	
M@w1sS@OSI	ui	it is n[ot]; no (interj)	
eQYkd-UA)2	ul-	to rain (vb)	
nHX;{%$3hk	ulcarindo	evil-doer (n)	
FJV]4$j$_F	ulca	bad; evil; sinister; wicked; wrong (adj)	
cx@=SvDd9~	ulco (ulcu-); úro	evil (n)	
HG2r/Wp/yO	ulculóra	without evil (adj)	
q$EW35OG))	ulma	flagon; *pitcher (n)	
n=f{E(U3wR	ulo (*ulu-)	rain (n)	
onoZW>xw;g	ulquet-	to accuse (vb)	
ca]F@VBf}5	ulquetië	accusation (n)	
lt*%xl!gm+	ulquéto	accuser (n)	
NWO6/~S%!X	ulumpembë	caterpillar; (lit.) camel worm (n)	
kLr<-<9C}	ulumpë	camel (n)	
HP!:arDd6i	ulunda	monstrous (adj)	
Keg(X?Skkw	ulundië	monstrosity (n)	
P=u9K1kmVY	ulutelmë	rainshade; umbrella (n)	
"zlC8a0^#kj"	umbar (umbart-)	curse; doom; fate (n)	
cn-36e2a*	marta-; umbarta-	to decree; to define; to destine (vb)	
l,g+PR>jL=	umbarwa	fateful (adj)	
Rc1+ud^R]n	umba	swarm (n)	
M9+F!:N)N_	umbo(n)	clump; lump; mass (n)	
iGV}OR!;RN	umbë	imminence; premonition; unwelcome expectation (n)	
vg/Le5u+|2	undalasar (undalasarn-)	stalactite; (lit.) down-growing stone (n)	
L|@3RE^;cw	unda	beneath; lower (adj)	
i>h</lC+lW	undo	less (adj pron)	
rp>U4&?}q	undulav-	to *engulf; (lit.) to lick down (vb)	
Dr&cLoBn8R	undumë	abyss (n)	
b>P3C<{t(X	undu	beneath; down; under (prep adv)	
N1qM?WC2Gf	undómë	time near evening; twilight (n)	
gCqCX2PJ[+	ungol	(monstrous) spider (n)	
EJ+8^y/kn	ungwë	spider’s web (n)	
HY|-RP4U@f	unqualë	agony; death agony (n)	
"h>EPDa#)*j"	untup-	to cover (over or up); (lit.) to cover down (vb)	
pvGa}M-Y^1	uo	together (adv)	
pawUB]i8v<	ur(u)-	difficult; hard (pref)	
"eOz{#Xb2qc"	ur(u)ma	charcoal; coal (n)	
"QhG`#gZ[(D"	urco (urcu-)	bogey; orc (n)	
fU9MoK?;e;	urda	arduous; difficult (adj)	
"za#i)y)^/l"	urna	oven (n)	
"D|#*D}sT/3"	urpalda	stove plate (n)	
e@;GHo.oyJ	urra	bad (adj)	
s>pDEJFxcr	urruxa	enraged; furious; incensed; livid; (lit.) hot-wroth (adj)	
HPy]{*X}AO	ursa- [þ]	to rage (vb)	
IP[,>)hq]i	urta-	to burn (vb)	
ki90W5`M`T	urucarin	made with difficulty (adj)	
D*d`4cq`3)	uruhanyaima	complicated; cryptic; enigmatic; hard to understand (adj)	
QPpCbE=&Yx	uruhta-	to (cause to) smoke; to belch smoke (vb)	
zlrXEcp--<	urulanya	wick; (lit.) fire-thread (n)	
AE$6&IqhI.	urulócë	fire-dragon; fire-drake; fire-serpent (n)	
"JgUXVwx#Mz"	urus (urust-)	copper (n)	
P_V&GjV9I%	urustamitta	copper-piece (n)	
ocY+0X&GTe	urustan (urustam-)	copper-smith (n)	
uY*eFh%F/0	urusta	of copper (adj)	
rwn!w_e!-D	urwa	afire; on fire (adj)	
Q/(N0,-SKu	urya-	to be hot (vb)	
z[@Qs1FOZ`	us- [þ] (pref)	[wrong] with a bad sense; bad; improper; unsuitable; useless; wrong (pref)	
p9yZ,K]1M4	us- [þ] (vb)	to escape; to get out (vb)	
kAFHd^qx.<	uscil(lë)	cigarette (n)	
l1L]pr]pJ)	usquë	dusk; reek; twilight; *smoke (n)	
"o)NktXr#{p"	ussar (ussard-)	sulphur; (lit.) fire-stone (n)	
t0NkXr8=^f	ustat-	to misappropriate; to supplant; to usurp (vb)	
Q(w`_o{wZn	ustya-	to smoke (intr.) (vb)	
g%%/qpE^>^	uswë [þ]	escape; issue; outlet (n)	
dt%_?(b@qo	uvassë	future tense; (lit.) uva-ness (n)	
"v#rCHGT<b;"	uxarë	doing wrong; *misdeed (n)	
hcCha}T3Cy	vacco	coat; jacket (n)	
nowGHq>ba;	vailima	windy (adj)	
CxE,|:Sp=~	vailë	[strong] wind; *gale (n)	
Q/M2%Ngqn+	vaimata-	to [en]robe; to get dressed; to put on clothing; to *clothe (vb)	
s0:gjQLPeR	vaima	robe; wrap (n)	
*75h&Mc,G	vaina (Body Parts and Functions)	blonde; fair of hair (adj)	
m5$G+ezd4u	vaina (Clothing and Adornment)	clad (adj)	
i:lr$*)ubF	vainolë	quiver (n)	
B,AO`8v`g%	vainë	pod; sheath (n)	
Ezvk14>nAZ	vala-	to have [divine] power (vb)	
v7yF7(!>hd	valatëa	proud (adj)	
lturypvDR[	valatë	pride (n)	
ucYH>Y>k}%	valca	ferocious; fierce (adj)	
M*:=kT{G;(	valda (adj)	excited; wild (adj)	
wpq&zK.YYo	valda (n adj)	dear; worth; worthy (n adj)	
iXj[d.KO.6	valda-	to be of significance; to matter; to moment; to worth (vb)	
E6rjWMqZsd	valdima	essential; imperative (adj)	
pEj^vH+>:F	valdëa	important; of moment (adj)	
q?0NiFoAA4	valma	[divinely or righteously] powerful (adj)	
AVF$[FByfO	valmë (Social Relations)	authority (n)	
iB%}{Oius7	vana	fair-haired (yellow to golden) (adj)	
eZ`Gw/lDH~	vanda	oath; pledge; solemn promise (n)	
H.VmGPM|]r	vangwë	storm; *gale (n)	
jwvoXz:VIJ	vanima (adj)	beautiful; fair; *handsome (adj)	
Da5?Mk<=&B	vanima (n)	beautiful one; fair one (n)	
w<uTvukTHj	vanimelda	beautiful and beloved; elven-fair (adj)	
m&gD*0)C=Y	vanita-	to beautify; to grow/become fair; to make fair/beautiful (vb)	
p4y_$FNIs>	vanwalussë	past tense (n)	
"I!(=o#^i8"	vanwa	departed; gone (for good); lost; no longer to be had; over; passed away; past; vanished (adj)	
dRz&de,T9?	vanwë	loss (abstract/general) (n)	
M~mK<3S1b}	var- (Warfare and Hunting)	to give way; to surrender; to yield (vb)	
HE2rs?)[B/	varanda	sublime (adj)	
rif.?2$$(d	varasta-	to loom; to tower up (vb)	
uP|-Enl~G~	vardarianna	fragrant evergreen tree (n)	
i5{T?Cr>V:	varma	armor; armour (n)	
MyomDq3{,C	varno	guard; protector (n)	
i?!-aM,G`9	varnë (varni-)	brown; dark brown; russet; swart (adj)	
"t]p#X/QGr}"	varta-	to betray (vb)	
u&?h&q7_vV	vartië	betrayal (n)	
fJsi59%ebh	varyalë	defense (n)	
dxW)Ve,jku	varyando	protector (n)	
k-zXPE7Eih	vasarya- [þ]	to veil (vb)	
fI0T7UR(b3	vasar [þ]	veil (n)	
A-GAKPGU1H	vata	beaten track; pathway (n)	
IL<rJ1i>w|	vatta-	to trample (vb)	
FI8Vgso_wF	va	(away) from; away; gone forth (prep)	
A3]?39Hl&8	vë (prep)	after the manner [of]; like; similar (prep)	
n,S|Zt2fit	vehtequentalë	biography (n)	
QVX%U/3*)=	vehtë	[a span of] life; habitat; haunt (n)	
i@9&We?Hay	vel-	to boil; to bubble (vb)	
j%SSqy=F;s	velet	boil; tumor (n)	
"MKb#e>*l&e"	velu-	to unfurl; to unroll (vb)	
txz|84)yKp	veluntë	sail (n)	
pA|k&A:oj]	velupantië	revelation (n)	
PbDI:|FEX_	velva	boiling; bubbling (adj)	
Q:Z62.clj}	velvë	bubble (n)	
JS`[-.:t?|	velyávë	Cucurbitaceae; gourd; the gourd family (n)	
DQi:tgDz^^	vembë	worm (n)	
v*R0J8~.u?	vendelis (vendeliss-)	nun (n)	
F{y;_^n;EW	vendesta	convent (n)	
DT0`OFih/]	venta	chin (n)	
Pd[3y!USKP	venwa	lime (fruit) (n)	
MM]2|y;XK:	venya (pron)	ours (inclusive) (pron)	
eK_q-u9S`u	venë	[eating] vessel; dish (n)	
Nx0;;8Wxkr	vequi	as if; as though (conj)	
MZ4h5Mi|v-	vercála	sudden; violent (adj)	
ol0d@umi5s	verinu	married pair (collective-noun)	
"o[CqC1B{O#"	verin	married (adj)	
Oj]R7P^]q/	veri	wife (n)	
x&e:[=*NCf	verrendo	brother in law; kinsman by marriage (n)	
t;/(m]|oQV	verressë	kinswoman by marriage; sister in law (n)	
e!7(*O>THd	verulóra	widow; widowed (adj n)	
In:T81}R|K	veru	husband (n)	
N%Bt,Prk%S	veryandë	adventure; undertaking (n)	
dsfMKS:J|N	veryanwë; vestalë	wedding (n)	
g(E|OrS}=s	vesquen	spouse (gender neutral) (n)	
O7:F!d|%AQ	vesta- (Law and Judgment)	to contract; to make a compact; to swear (to do something) (vb)	
"p[I+)h#ns7"	vestaracië	adultery; (lit.) marriage-breaking (n)	
lO@2vZh&r>	vetto	witness (n)	
koh.~!1x4]	vettëa	witnessing (adj)	
A}2HsJ@8)P	vettë	(act of) witnessing (n)	
PuG+Rq8up3	veuma	server (n)	
jfl-@pf3.m	viëlóra	eunuch (n)	
l+lhgi|j-|	vilina	airy; breezy; light [weight?] (adj)	
y,$sa/8v8E	vilwis(të)	weather; (lit.) turn of air (n)	
,~cgatJ]L	vin(i)-	neo- (pref)	
xujY]*4}ec	vingë	crest; crest of wave; froth; scud; spindrift; spray; wave crest (n)	
I?=_GesT.d	vinimetta	end of youth; *reaching middle age (n)	
SpcH{1e%q	vinquetta	neologism (n)	
za;RD0))r{	vinyahan (vinyahán-)	younger brother (n)	
l&nGXo(y}p	vinyanet (vinyanés-) [þ]	younger sister (n)	
"H#^]4Z`<T4"	vinyanóna	new-born (adj)	
"iQN!0Zcu3#"	vinyarë	*young adulthood (n)	
Jt<:$*;45d	vinya	new (adj)	
E&7b?0{(J!	vin	already; just; just now; only just (adv)	
l:7_SUEN<!	vircolca	basket; (lit.) woven-box (n)	
Fh2w.jW!;r	virda	outcome; result (n)	
sIg&C$Un7=	virittë	gravel (n)	
B3E6p9]2ML	virya-	to alternate (vb)	
Fh^|J(J`z	virítë	variable; various (adj)	
qwhh/Bg<a)	vista-	to change (transitive) (vb)	
uuwO+mc(i[	volta	volt (n)	
]GPJnK=oV	voltië	voltage (n)	
j|@>GM(]{c	vor-	to survive (vb)	
Nkli%p?W/Q	vorimyalë	monotony (n)	
Ev)C8xepcu	voronda	faithful; steadfast (in allegiance, in keeping oath or promise) (adj)	
PIYBq<JNd<	voronwë	faith(fulness); loyalty; steadfastness (n)	
h;H;)7E`A2	vorotailë	procrastination; (lit.) ever-extension (n)	
Knn>%CJ2?E	vorotaita-	to procrastinate; (lit.) to ever-prolong (vb)	
ra=$>3X1ke	vorta-	to make lasting; to preserve (vb)	
OyYr`gw0O*	vortalë	maintenance; preservation (n)	
q2e1agr2OB	voruhta-	to shun; (lit.) to ever-avoid (vb)	
B9R?%i}g6!	voruva	age long (adj)	
FD*rz/A.4r	válë	divine power/authority (n)	
nFD%]E*@(N	váquet-	to forbid; to prohibit; to refuse; to say ‘I will not or do not’; (lit.) to say no (vb)	
IJ.qud)HS_	váravalmë	scandal (n)	
"pdvN#IrU3C"	váya	[stormy] sea; ocean (n)	
ITtj}@H{OT	vá	do not; shall not; will not (interj adv)	
Ly=Q!)XFUU	vélamë	similarity (n)	
e0.X8)x[h!	véla	having a likeness or similarity; *alike (adj)	
C08Fx;>pc1	vénëa	*virginal (adj)	
P*>q^rnNd{	vénë	girl; *virgin (n)	
OW1Oc<sZ$|	vératanna	signature; (lit.) personal token (n)	
"C;0Gfk-#m["	véra	own; personal; private (adj)	
sL7EZY]g|{	véta-	to compare; to liken (vb)	
qTrQ@MdT|w	vétaima	comparable (adj)	
q8<V>Kj76q	vëalta-	to resemble (vb)	
q@5:-HH<U>	vëasta	comparison (n)	
yGT[<jGm;P	vëa (Mind and Thought)	apparent; seeming (adj)	
"D>K&?O#hmI"	vëo	living creature; *living being (n)	
fAeUVNqk<B	vílë	gentle breeze (n)	
c>lxWrdx_l	vínë	*childhood (n)	
cN_}C(H;3a	vírina	woven (adj)	
BI4g&o5|Rx	vórima (Emotion)	continuous; enduring; faithful; repeated; *(lit.) able to endure (adj)	
w5L>=xb9uL	ving(a)	spray (n)	
pY1VB-1h>;	xiétë (xiéti-)	impermanent; passing (adj)	
rT([G8Y?=l	yac-	to offer; to sacrifice (vb)	
F@4*?2c,Sq	yacië	[act of] sacrificing; offering (n)	
wG2HSaNG(?	yaimëa	wailing (adj)	
GI,[6E`J?d	yaimë	wailing (n)	
m{^JWbRwMG	yaiya-	to cry grievously; to cry in pain; to wail (vb)	
vLTpjAc=v9	yal-	to *call (out to) (vb)	
Qo~@H(pjPf	mallo; yallo	whence (adv)	
OKX:eH/Chy	yallë	as; in the same way as; like (conj)	
JOZ4so^t=;	yalta	yoke (n)	
dSnFqmYe-|	yanca	sacrifice (n)	
eW4ek[=b/I	yanen	whereby (adv)	
l*>J3Y2ps;	yangwa	altar (n)	
g})XrhBDoK	yanna	whereto; *to there (remote) (adv)	
ce?9D^E*uC	yanta- (Quantity and Number)	to add to; to augment; to enlarge; to increase (vb)	
wzVyuvMsk@	yanta- (Spatial Relations)	to join (vb)	
IpPHbB}!Ha	yantaina	joined (adj)	
dj/^zR=}N:	yanta; yanwë	bridge (n)	
geM{`L4OPS	yanwë	isthmus; joining (n)	
"bB1v@9|#93"	yarië	antiquity (n)	
I[XwTQ1w!@	yarra-	to growl; to snarl (vb)	
d}u{qE8,[T	yarra	growl; snarl (n)	
K[y@>L^9^-	yausta	crop (n)	
L6!IPbLRlU	yav-	to bear (fruit); to bring forth; to produce; to *yield (vb)	
PIR%yz_;DC	yavannamírë	Jewel of Yavanna (n)	
HwoR44{>7g	yava	of which (adj)	
tm}z0X8Oq{	yaxë	cow (n)	
e/z^WrfIj:	ya	relative pronoun; that (relative pronoun); which (pron)	
d7@&fjr9xp	yermë	sexual desire (for marriage and procreation) (n)	
MSi~Z1wXk1	yesta- (Time)	to *start (vb)	
yyFu$~D9+q	yestanyatsë	prefixion (n)	
RhqE]G*{fi	yesta	beginning; *start (n)	
tJC!UyOo$7	manë; yë	who (pron)	
FAN;NdVSI$	yo-	together (used in words describing the union of three or more things) (pref)	
zdimDp=KI/	yol-	to smoulder (vb)	
t(BsG^q;/k	yomencöa	synagogue; (lit.) meeting-house (n)	
"Ie}dq[#35s"	yomenië	gathering; meeting; *congress (n)	
e*}bOBlXfQ	yondë	any fairly extensive region with well-marked natural bounds (n)	
nR@naFU5?e	yonwa	border (n)	
IBp)j8K~VS	yonyo	(big) boy (n)	
yMhJoYz`=*	yonávë	camaraderie; company; *companionship (n)	
Gb!-k)`iv)	yor-	to contain; to enclose; to set bounds to/about; *to include (vb)	
hHhVN<yoFt	yosanwë	(pl.) congruence (n)	
qq}%Huaz%t	yo	both ... and (conj)	
"KA#t-tQfZG"	yu-	both; twice (pref)	
Nf7HgJvCU_	yuhta-	to employ; to use (vb)	
"q{x#4k[_Ta"	yuitë	dual (adj)	
ihNFP8I&vw	yul-	to drink (vb)	
L:w)y4pP~F	yulda (adj)	drunk (adj)	
jd([%ON]^$	yulda (n)	draught; drink; thing drunk (n)	
M{{B,;`mf)	yullas (yullass-)	tea (n)	
qUD7jxNJb1	yullumë	twice; two times (adv)	
u&S_[07>yD	yulma	cup; drinking implement; drinking vessel (n)	
o).0O{A2CG	yulmon	chalice (n)	
fz`x-kmO%5	yulmo	drinker (n)	
HQa_:!b(fd	yulmë	carousal; drinking (n)	
cE+Au%6Dm&	yuluitë (yuluiti-)	drinking (as a habit); *aquatic (adj)	
B/6rEG:>by	yulunefítë	amphibious; *(lit.) drinking-breathing (adj)	
kj9eLJ>za{	yunquesta	*one twelfth (fraction)	
I+c;M%{,|9	yunquëa	twelfth (ordinal)	
w}Y0D.A_o<	yunquë	twelve (cardinal)	
?J2`??(nT	yuquain tuxa	one hundred twenty (cardinal)	
uoB`},Lh,g	yutya-	to lend; to loan (vb)	
pQeHaAk_>r	yácina	sacrificed (adj)	
GQ]f9JKoBZ	yána	huge; vast; wide (adj)	
m^vVIB-srs	yárahan (yárahán-)	older brother (n)	
N$e}5~Pzt!	yáranet (yáranés-) [þ]	older sister (n)	
AR9&qJND+7	yáraquetta	archaic word; archaism (n)	
"u]:B#-CkYZ"	yára	ancient; belonging to or descending from former times (adj)	
k`yrU6VTm`	yávelóra	fruitless (adj)	
BObIoE4HbW	yávinqua	fruitful (adj)	
"B*_o>[WKh#"	yáviérë	*autumn-day (n)	
wXL}A/2*~+	yávië	autumn; harvest [time or act] (n)	
QQxXUzGz+H	yáva; yávë	fruit (n)	
fBYdlGO2|t	yá	when (conj)	
Amr6C.aB+&	yénië	annals (n)	
"ncv^V#Muq8"	yén	Elvish long year (144 solar years); year (n)	
DVfV%wey@U	yé	what a ...; what is more; lo! (interj)	
nQ1o!TSBVC	yëa	what is more (interj)	
kOES0WJ>/%	yó(m)	[together] with (prep)	
d4nzg4^`1>	ména; yondë; yón (*yond-)	region (n)	
H:!rD(i31G	yúlima	drinkable (adj)	
J8Dz}2oK37	yúyo	both (adj)	
oDWb+x+i1~	Úrimë	August; *Hot-one (n)	
I.`GiUXc/b	ála	do not (particle)	
I_34(!!kVi	árë (ári-)	sunlight; warmth (especially of the sun); *noontide (n)	
h{ko-JS(XR	árë nuquerna	árë-reversed (n)	
Of%dRe6p8T	ásë [þ]	aid; benefit (n)	
q)E@BR2)6.	áva	don’t; negative imperative (particle)	
E)&s_`?~[V	áya	awe (n)	
c]/z!!.f7O	á (particle)	imperative particle (particle)	
k@xnXmctH^	élicombë	collection of stars; galaxy (n)	
r%7z[$7:Fd	ëa-	to be; to be found extant in the real world; to exist; to have being (vb)	
e_<Nj8k@l~	ëarel	starfish; (lit.) sea-star (n)	
MbUCs;*Y{G	ëarendur	(professional) mariner (n)	
JcM[^fd<oK	ëarina	of the sea (adj)	
z@r;pO~*U*	ëarra (ëarráv-)	sea lion; seal (n)	
rM;Y,7SB=X	ëarsil	pearl; (lit.) sea-sheen (n)	
F!?{[TbEL0	ëar	(open) sea; great sea; water (n)	
"zcZ6#HI{Dh"	ëasta	being; existence (n)	
dNJln.B0cg	í-	a prefix for electronic things like e-book; e- (pref)	
zEOJ@BU_RE	írima	beautiful; desirable; lovely (adj)	
w*~Uq5`dLA	íta	flash; *lightning (n)	
wm55Cv050*	ítacelmëa	electrical (n)	
