(a)larca|rapid; swift (adj)
ostomo|citizen (n)
osto|city; fortress; strong place; stronghold; town with wall round (n)
oswe; oswë [þ]|hip (n)
oswe|(evil) phantom; ghost (n)
os|about; around (prep)
osáma|common; joint; (lit.) together-having (adj)
otarmië|colonnade (n)
otocotta|beating of breasts; wailing (n)
otolmië|keyboard (n)
otoquëa|seventeenth (ordinal)
otoquë|seventeen (cardinal)
otornassë|*association; brotherhood (n)
otornië|alliance; association; company (n)
otorno|associate [m.]; sworn brother (n)
otsan|week (n)
otsolametta|weekend (n)
otsola|(seven-day) week (n)
otsollumë|seven times (adv)
otsondóra|*seven million (cardinal)
otsondórë|*septillion (cardinal)
otso|seven (cardinal)
otsëa|seventh (ordinal)
otwen|84 (cardinal)
ovesta|compact; contract; treaty (n)
ovëa; vávëa|(con)similar; alike (adj)
ovëanta-|to imitate; to make like (vb)
ovëassë|likelihood; resemblance (n)
o|*from (prep)
pa-; tua-|*their; 3rd pl. masc. possessive (pref)
pac-|to attach (vb)
pahta (adj)|closed; private; shut (adj)
pahta-|to speak; to talk (intransitive) (vb)
pahta; questa (n)|speech (n)
pahtalanga-|to interpret; to translate (speech) (vb)
pahtalanga|interpretation (n)
pahtando|orator (n)
paimenta-; paimeta-|to exact or inflict a penalty; to punish (vb)
paimenë|cruelty; vengefulness; vindictiveness (n)
paimesta|chastisement (n)
paimë|infliction; penalty; punishment; vengeance taken (n)
pairemo|avenger (n)
paireta-|to avenge; to take vengance (vb)
pairë|revenge; vengeance (n)
paitya-|to repay; to requite (vb)
paityalë|payment; reward (n)
paiyan|oration (n)
palallon|telephone; (lit.) far-sound (n)
palancenta|telecommunication (n)
palancen|television; (lit.) far-sight (n)
palantilla|telescope (n)
palantir-|to watch/look afar (vb)
palantir|far-seer (n)
palantímië; palanyantië|telepathy (n)
palantír|far-gazer; far-seer; (lit.) that which looks far away (n)
palan|afar; distant; far; over a wide space; to a distance; to a great extent; wide (adj adv)
palar|flat field; ‘wang’ (n)
palassëa|foaming (of the sea) (adj)
palca-|to beat flat (vb)
palda (adj)|*expansive; broad; wide (adj)
palda (n)|dish; plate; platter (n)
palis (palist-); palis(te)|green; lawn; sward (n)
palla (n)|paunch (n)
palla (prep adv)|far beyond (prep adv)
palma|flat plank; flat tool; oar (n)
palmë (Motion and Transportation)|a shaking (n)
palmë; palúrë (Spatial Relations)|surface (n)
palo (palu-)|*level; flatness; plane (surface); the flat (n)
palpa-|*to clap; to applaud (with palms); to batter; to beat (vb)
palta (Body Parts and Functions)|*palm; flat of the hand; shelf (n)
palta-|to feel with the hand; to stroke (vb)
palta; palusta (Physical Acts and Materials)|shelf (n)
paltalda|palm tree (n)
palu-; palya-|to expand; to extend; to open wide; to spread (vb)
paluhta|table (n)
paluhtincë|tablet (n)
palusta|bookshelf (n)
palwa|even; level (adj)
palúrë|(Old English) folde; bosom; bosom of Earth (n)
pamba|ball (n)
pampil(e)a|tremulous (adj)
pampilë|trembling (n)
pampinë|tremor (n)
pan-|*to arrange; to set in order (vb)
panda; tarwa|enclosure (n)
panin|concerted; definite; deliberate; meant; planned; prepense (adj)
panna (Quantity and Number)|arrangement; book; grouping (n)
panna (Spatial Relations)|*plan; arrangement; course; grouping (n)
pano|*board; piece of shaped wood; plank (n)
panta-|to open; to spread; to spread out; to unfold; to unfurl (vb)
panta|open; spreading; wide (adj)
pantië|revealing; unfolding (n)
panwë|(musical) theme; arrangement; ordering; plan; structure (n)
panya-|to arrange; to fix; to intend; to mean; to plan; to set (vb)
panyara|?setting (adj)
pan|*since; because (conj)
pap-; papa-|to tremble (vb)
papta|*leaf (n)
par-|to learn (vb)
parahta-; tarqua-|to dry (vb)
parandë|(school) lesson (n)
parca|dry (adj)
parco|towel (n)
parma-resta|*book-fair (n)
parmacas (parmacaps-)|bookcase (n)
parmahenta-|*to read (vb)
parmahentië|(book) reading (n)
parmahto|author (n)
parmaina|literary; of books (adj)
parmalas(së)|page; (lit.) leaf of book (n)
parmasan (parmasamb-) [þ]|library [room] (n)
parmasson (parmassond-)|librarian (n)
parmassë|literature (n)
parmatéma|p-series (n)
parma|bark; book; composition; parchment; skin; writing; writings; written document of some size (n)
parmen|place of study; school (n)
parmo|student; (lit.) learner (n)
parna|bare (adj)
parnë|bald; bare (adj)
parta-|to arrange; to compose; to order (vb)
partalë|order; orderliness; organization (n)
partië|arrangement; composition (n)
pas- [þ]; pasta-|to smooth (vb)
pasta [þ]; runda|smooth (adj)
pasta-|to iron (vb)
pasta|glabrous; sleek; smooth(ed) (adj)
pat-|to step; to take a (single) step (vb)
pata-|to *stroll; to rap; to tap (of feet); to walk (vb)
patacan; patacë|clatter (n)
patacanda|clattering; rattling (adj)
patacan|rattling (n)
patacatapaca; patactatapacta|rat-a-tat (n)
patahta-|*to clap (+ instrumental of hands); to clatter (vb)
patinca|slipper (n)
patl|leaf (esp. of book) (n)
pattal|hoof (n)
patta|sleek; smoothed (adj)
patu-|to start off; to start walking; to step to it (vb)
pat|step (n)
pa|about (prep)
peccuvo|squirrel; (lit.) nut-hider (n)
pehtë|*crest (of birds); cox-comb (n)
pel-|to encircle; to fence in; to go round; to pen in; to return; to revolve; to surround (vb)
pelas|along; (lit.) by the boundary of (prep)
pelco|leg (n)
pele-|to fence in; to pen in; to surround (vb)
pelecco (peleccu-)|axe (n)
pelecta-|to hew (vb)
peler (Agriculture and Vegetation)|fenced field (n)
peler; yonwa (Social Relations)|fence (n)
pelin|fenced in; pent (adj)
pellauca|lukewarm (adj)
pella|beyond (boundary or limit) (prep adv)
pellopë|ass; donkey (n)
pelma (Spatial Relations)|border; edge; fringe; limiting device; pen (n)
pelma; tecil (Social Relations)|pen (n)
pelo|boundary (fence) (n)
pelta-|to roll (vb)
peltas (peltax-) (Social Relations)|a ‘pale’; fence of fixed stakes (n)
peltas (peltax-); queren (querend-) (Motion and Transportation)|pivot (n)
pen-|*to lack; to not to have (vb)
penanwa|backing; present; standing by; supporting (adj)
penda-|to incline; to slope (vb)
penda|(steeply) inclined; *sloping; sloping down (adj)
pendë|(down) slope; declivity; downslope; hillside; steep incline (n)
penga-|to pout (vb)
pengëa|labial; of the lips (adj)
penië|lack; shortage; want (n)
penna|lacking; vowel (adj n)
penno|poor man (n)
penquanta|full to the brim; with mouth full (adj)
penta-|to lose (vb)
pententa-|(lit.) to indicate by mouth (vb)
pententalë|mention (n)
pentë|front (n)
penyalë|deprivation; poverty (n)
penya|*poor; inadequate; lacking (adj)
pepella-|to circulate; to orbit (vb)
pequ-; peque-|to card wool; to comb; to tease (vb)
pequen|comb (n)
per-|half; semi (pref)
percoron|hemisphere (n)
peresta-|to disturb (vb)
peresta; perta|one half (fraction)
perestië|disturbance (n)
perma|aperture; pass; passage (n)
permë|half; side (of person or shape) (n)
perranga|cubit (n)
persa-|to affect [sounds] (vb)
persana|affected (adj)
persanië|affection (n)
pertol (pertoll-)|peninsula (n)
perwaima|skirt; (lit.) half-robe (n)
perya-|to divide in middle; to halve (vb)
perómanda|*semi-vowel; semivocalic (adj n)
pi(o)pin|fruit of hawthorns; haws (n)
pic- (Motion and Transportation)|to dwindle; to lessen; to wane (vb)
pic-; tihta- (Sense Perception)|to blink (vb)
picara|leopard (n)
piecta-; pietya-|to pin-prick (vb)
piemillo|olive oil (n)
piet; pirin (pirind-)|pin (n)
pihta-|to shrink (vb)
pil-; pili-|to steal (vb)
pilin (pilind-)|arrow; feather (n)
pilinehtar|a reed-like plant; (lit.) ?arrow thorn (n)
pilintan|fletcher (n)
pilintelë|plumage (n)
pilt (pilty-)|blow; box on ear; cuff (n)
pilty-|to strike (esp. with flat hand) (vb)
pilucca|stealthy (adj)
pilu|robber; thief (n)
pilwë|robbery; theft (n)
pimpilin|hanging tail (n)
pimpina; sóra|trailing (adj)
pimpë (pimpi-)|tail (n)
pinc|little thing; mite (n)
pio|berry; plum (n)
pipiri-|to twirl; to twizzle (vb)
piquesta; sáralë|bitterness (n)
pirin (pirind-)|thin rod (n)
pirina|juicy; oozy (adj)
pirindë; pirnë|flower that opened and shut quickly with any change of light (n)
pirindëa; toloisë|cylindrical (adj)
pirinumbë|cylinder (hollow) (n)
pirucendëa|on the point of her toes (adj)
pirutë|pirouetting; swirl; twisting (n)
pirya|*sap; juice; syrup (n)
pirë; taltil (taltill-); tillë|toe (n)
pitya|petty (adj)
piuca|blackberry (n)
piuta-|to spit (vb)
piu|calf of leg (n)
pië|berry (n)
poco(lle)nyarro|opossum; (lit.) pouch-rat (n)
pocollë|pouch (n)
poco|bag (n)
poica|clean; pure; tidy (adj)
poinessë|?cleanliness (n)
poita-|to *clean; to cleanse (vb)
poitië|(act of) cleaning; cleansing (n)
pol-|to be able to; to can (vb)
polca|pig (n)
polda (Body Parts and Functions)|burly; powerful; strong (adj)
polda (Spatial Relations)|big; burly; strong (adj)
poldavë|strongly (adv)
poldor; poldorë; tuo|physical strength (n)
poldor; túrë|might (n)
poldórëa|muscular; powerful; strong; strong-bodied (adj)
polenta|oatmeal (n)
polina; poliva|oaten (adj)
polisimpë|Pan-pipes; shepherd’s pipe (n)
polië|ability (n)
polondë|alder (n)
polta-|to (physically) enable (vb)
polë (poli-); porë (pori-)|flour (n)
polë (poli-)|grain (unground kernels of oats, wheat, etc.); meal; oats (n)
polëa|able (adj)
polúnë; poru|kernel (n)
pono; poto|in front (of place) (prep)
popólu-|to practice; (lit.) to slowly gain ability (vb)
porisalquë|corn; (lit.) flour-grass (n)
porocellë|chicken (n)
porocë|*chicken; barn fowl (n)
poroton|proton (n)
potai|*therefore; (lit.) before which (conj)
potë (potsi-)|after; behind (of place) (adv)
psar-|to fret; to rub (vb)
psára|peel (n)
pucco (puccu-)|cunnus; vagina (n)
pucta; puhta|*sex; coitus (n)
puhta-|to copulate; to have sex (vb)
puhtëa|sexual (adj)
pulca; púlë|body; trunk (n)
pulco|*torso; body; bole of tree; trunk (n)
pulmaxë|*yeast; leaven(ing) (n)
pulpa|bulky; fat (adj)
pulta-|to leaven; to make swell (vb)
puncil|male organ; penis (n)
punta|stopped consonant (n)
pupso|blow fly; large fly (n)
pus (pust-); sist(e) (sisty-); sistë (sisti-); velet|boil (n)
pusta-|to cease; to put a stop to; to stop (vb)
pusta|*halt; pause; stop (n)
pusulpë|balloon; gas-bag (n)
putta|stop (in punctuation) (n)
páselannë [þ]|linen-cloth (n)
páselarma [þ]|linen-raiment (n)
pásë [þ]|linen (n)
pá|about; as regards; concerning; on (above but touching); touching (prep)
pérappa|bridle; (lit.) lip-rope (n)
pé|(closed) mouth; the (closed) mouth; the two lips; the two lips [as dual] (n)
pëanta-|to enjoin; to give instructions to; to give into one’s hands (vb)
pímótar|ant; (lit.) insect-worker (n)
píta-|to decrease; to reduce (vb)
pí|*mite; fly; gnat; small insect (n)
pómëar|norseman; northern man (n)
púrëa|bleared; discoloured; smeared (adj)
qua(na)|all; complete; entire; full; the whole (adj pron)
quaccas (quaccar-)|tadpole; (lit.) frog head (n)
quaihúmë|myriad; ten thousand (cardinal)
quainquë|*sixteen (cardinal)
quainyë|decade (n)
qual-|to die (vb)
qualin|dead; dying (adj)
qualma|deadly (adj)
qualmëa|deadly; deathly (adj)
qualmë|(death) agony; (process of) death (n)
qualta-|to kill; to murder (vb)
qualume|heaving (adj)
qualussë|perfect tense; (lit.) full tense (n)
qualöa(va)|annual; perennial (year as whole); yearly (adj adv)
quam-; quama-|to be ill; to vomit (vb)
quamna|vomit (n)
quampa-|to hawk goods (vb)
quampalë|*haggling; bargaining; chaffering (n)
quampa|peddlar-goods (n)
quampo|huckster; pedlar (n)
quanta-tencelë|full writing (n)
quanta-|to *(lit.) make full; to *fulfill; to complete; to fill; to fill [something] (vb)
quantassë|fullness (n)
quanta|filled; full (adj)
quantemma|*(lit.) full-picture; facsimile (n)
quantien|century; (lit.) full year (n)
quantolië|maturity (n)
quap- (Motion and Transportation)|to flutter; to throb (vb)
quap-; quapa- (Possession and Trade)|to bargain; to barter; to chaffer; to swap (vb)
quapta-|to exchange (vb)
quaptalë|exchange (n)
quaptando|money-changer; (lit.) exchanger (n)
quapta|bargain; deal (n)
quaqua-|to *croak; to cackle; to quack; to squawk (vb)
quaran (quarán-)|full-moon (n)
quarca|naughty; perverse (adj)
quas-|to flap; to nod; to shake (vb)
quasa-|to flap; to nod; to rustle (intr.); to shake (vb)
quat-|to *be filled; to fill (vb)
quel- (Body Parts and Functions)|†to fail (vb)
quel-; quele-; sinta- [þ] (Motion and Transportation)|to fade (vb)
quele-; queletya-|to perish (vb)
quelehtima|corrupt; rotten (adj)
quelehtië|rot (n)
quelehtë|carcass (n)
quelet (quelect-); quelet (quelett-)|corpse (n)
quelië (Motion and Transportation)|*fading (n)
quellë|late autumn and early winter; (lit.) fading (n)
quelmo|1st pl. inclusive pronoun; we (emphatic) (pron)
quelmë|end; perdition; ruin; utter end (n)
quendi|female Elf (n)
quendu|male Elf (n)
quenelya|of the Elves (adj)
quennasta|syntax (n)
quenna|proverb; saying (n)
quenso|minstrel; reciter (n)
quentalë|account; narration (n)
quentaro|minstrel; narrator; reciter; speaker (n)
quentasta|historical account (n)
quenta|account; narrative; story; tale (n)
quentëa|verbal (adj)
quequer-|to wag (vb)
quequetta-|to keep on saying; to repeat (vb)
quer-|to *revolve; to turn (vb)
querda|turn (e.g. in a game) (n)
queren (querend-)|revolving centre (n)
querma|*wheel; spinning wheel; turn-table (n)
quermen|a turning; corner (of a street); turn (n)
quernamo|convert; proselyte (n)
querna|*turned (adj)
querë|revolution (n)
quessamin (quessamind-)|velvet; (lit.) downy silk (n)
quessehonda|frivolous; (lit.) feather-hearted (adj)
quesset (*quessec-)|pillow (n)
quessetéma|kw-series; q-series (n)
quessë|feather (n)
questa|language (n)
quet-|to say; to speak; to talk; to tell (vb)
quetil|language; talk; tongue (n)
quetië|*(lit.) saying; words (n)
quettacarmë|(art of) word-making (n)
quettalcar|renown; (lit.) word-glory (n)
quettalë|expression; phrase; sentence; wording (n)
quettapano|morpheme; (lit.) word-element (n)
quettaparma|wordbook; wordlist (n)
quetta|word (n)
quetyar-|to pronounce; (lit.) to cause vocal speech (vb)
quetyarmë|pronunciation (n)
quetítë|able to talk; glib; good at expression; having speech (adj)
que|we (inclusive) (pron)
quihta-|to shoot (vb)
quihta|projectile (from a bow or a crossbow); shot (n)
quilda-|to be quiet; to stay quiet (vb)
quildarë|bat (n)
quilda|hushed; quiet; still (adj)
quildë; quille|hush; quiet; rest (n)
quilinoitë|[em]broidered; broidered (adj)
quilin|(orig.) bright-coloured; *embellished; adorned; embroidered (adj)
quilma|paint (n)
quilta-|to encircle; to gird (vb)
quiltaina|girdled; girt (adj)
quiltalannë|apron (n)
quiltassë|(em)broidery (n)
quilta|belt; girdle (n)
quilya-|to *paint; to adorn; to color; to colour; to embellish (vb)
quilëa|-hued; colored; coloured (adj)
quilë|color; colour; hue (n)
quima|whether (conj)
quimítë|female; feminine (adj)
quin-|to speak high; to squeak (vb)
quin; quí|*now (adv)
quinga-|to thrum (of strings, harps, etc.); to twang (vb)
quingatelco|*bow-legged (adj)
quinga|bow (for shooting) (n)
quinna|crested (adj)
quinnë|(concr.) women as a whole; femininity; womanliness (n)
quinqua|*lazy; drooping; languid; relaxed (adj)
quinquelëa|*relaxing; languorous (adj)
quinquelë|*relaxation; languor (n)
quinquenna|Solomon’s-seal (n)
quint (quinty-)|loop; stitch in knitting (n)
quintl|lyre (n)
quint|loop; stitch (in knitting) (n)
quiquië; quië|whenever (adv)
quir-|to make spin; to stir (vb)
quirilda|pirouetting; twirling (adj)
quiril|*whirligig; [spinning] top; spindle (n)
quirmë|cream (n)
quirna-|to stir (make spin) (vb)
quirquirinda|murmuring (adj)
quirquisi-|to murmur (vb)
quista-|to suppose (vb)
quit-|to knit (vb)
quitima|(for) knitting (adj)
quitin|joined tight; knitted (adj)
quitulma|scenario (n)
quië (adj)|calm at sea (adj)
quol-|to *be sick; to ail (vb)
quolimo|invalid (n)
quolina (Body Parts and Functions)|ailing (adj)
quolina|ill (adj)
quolo-|to ail (vb)
quolu|disease (n)
quolúva|pestilent; pestilential (adj)
quolúvië|pestilence (n)
quonda|choking smog; smoke (n)
quor-; quoro-|to (esp.) drown; to choke; to suffocate (vb)
quorin|choked; drowned; speechless (adj)
quosta-|to choke; to drown (trans.) (vb)
quácë|frog (n)
quámëa|*nauseous; sick (adj)
quámë|nausea; sickness (n)
quár(e)|fist (n)
quár(ë)|closed hand; fist (n)
quárelë|anxiety; watchfulness (n)
quá|duck (n)
quén (quen-)|individual; man or woman; one; person; somebody (n pron)
quénë|petrel (n)
quétima|*able to be said; pronounceable; speakable; utterable (adj)
quëa-|*our; 1st pl. inclusive possessive (pref)
quëallumë|ten times (adv)
quëatarwa|vegetable or kitchen garden (n)
quëa|vegetable (n)
quín(ë)|crest; ridge (n)
quínëa|squeaking (adj)
quínë|*squeak; squeaking (n)
rac-|to break (vb)
raccalepta|*claw-fingered (adj)
racca|*claw (n)
racina|deprived; stripped (adj)
racon (racond-)|cobblestone; (lit.) broken stone (n)
racta; ranco (rancu-)|arm (n)
raf- (Motion and Transportation)|to seize; to snatch (vb)
rahta-|to reach; to stretch out (vb)
rahtë|district; extent; reach; scope; sphere (n)
raica|bent; wrong (adj)
raima|net (n)
raina (Emotion)|gracious; smiling; sweet-faced (adj)
raina (Motion and Transportation)|caught in a net; enlaced; netted (adj)
rainë|*peace; good will (n)
raiqua|angry (adj)
raita- (Emotion)|to smile (vb)
raita- (Motion and Transportation)|to catch in a net; to make network or lace (vb)
raiwë|lace (n)
ral-|to return (intransitive) (vb)
ralya-|to return (transitive) (vb)
ramba (Dwelling and Furniture)|wall (n)
ramba-; vanta-|to walk (vb)
ramba; ran (ramb-)|beam of wood (n)
ramma|lever (n)
randa|age (100 Valian Years); cycle (n)
ranga|full pace; yard (n)
rangwië|fathom(ing); spatial reckoning/consideration (n)
rangwë|fathom (n)
ranqua|armful (n)
ranta; tië|course (n)
rantala|ladder (n)
rantarwa|partner (n)
rantie (Emotion)|party (n)
rantie (Warfare and Hunting)|tribute (n)
ranwë|blare (n)
ranya-|to *wander; to stray (vb)
ranyaila|wandering (adj)
ranyar|wanderer (n)
ranya|erratic wandering (n)
rappa|rope (n)
ras-|to stick out (vb)
rasillo [þ]|squirrel (n)
rassemunda|rhinoceros; (lit.) horn-snout (n)
rassulca|carrot (n)
rassëa|horned (adj)
rassë|horn [of both animals and mountains] (n)
rasta|scraper (n)
rato; ron(go)|soon (adv)
rattaraxa|tram; (lit.) track-wagon (n)
