(a)lá|yes (interj)
tára¹|lofty, tall, high (adj)
táris(së)|queenship (n)
tári|queen, ⚠️[ᴱQ.] mistress, lady (n)
tárië|height (n)
tás|there (adv)
táva|great tree (n)
tá|then (adv)
téma|series, [ᴹQ.] row, line (n)
térala|piercing (adj)
térata-|to straighten (vb)
tératië|correction, (lit.) straightening (n)
tér|*so (prep)
tëa-|to indicate (vb)
tëalë|meaning (n)
tëangolmë|semantics (n)
tírima|able to be watched, observable (adj)
tóquet-|to answer (vb)
tótal|sock, (lit.) wool-foot (n)
tó|thence (adv)
töallë|blanket (n)
töasta|grove (n)
töa|wood (as material) (n)
túlima|[ᴱQ.] bringable, worth bringing, able to be brought (adj)
túpelë|roofing, tiles, ⚠️roof (n)
túpo|cover, lid, ⚠️roof (n)
túra|great, ⚠️big (adj)
túrinasta|*kingdom (n)
túrindië|*kingdom (n)
túrin|lord (n)
túrion|palace (n)
túrëautocië|tax (n)
túrëa|mighty, masterful, *having political power (adj)
túrë|[ᴹQ.] mastery, victory; [ᴱQ.] might, strength, power (n)
túvima|discoverable (adj)
ua-|to not be, to not do (vb)
uhta-|to dislike, feel disgust with, avoid as painful or nasty (vb)
ui(y)a|no, not any, not (a); none (adj pron)
ui-|to not be, to not do (vb)
uito|it is not that (interj)
ui|no, it is n[ot] (interj)
ul-|to rain (vb)
ulcarindo|*sinner (n)
ulcarindo|evil-doer (n)
ulca|evil; dark, gloomy, sinister; [ᴱQ.] bad, wicked, wrong (adj)
ulco|evil (n)
ulculóra|without evil (adj)
ulma|flagon, *pitcher (n)
ulo|rain (n)
ulquet-|to accuse (vb)
ulquetië|accusation (n)
ulquéto|accuser (n)
ulumpembë|caterpillar, (lit.) camel worm (n)
ulumpë|camel (n)
ulunda|monstrous (adj)
ulundië|monstrosity (n)
ulutelme|umbrella, rainshade (n)
um(ba)-|[unglossed] (pref)
umbacarin|[unglossed] (n)
umbarta-|to define, decree, destine (vb)
umbarwa|fateful (adj)
umbar|fate, doom, curse (n)
umba|swarm (n)
umbo(n)|lump, clump, mass, ⚠️hill (n)
umbë|imminence, threat; premonition, fear, unwelcome expectation (n)
undalasar|stalactite, (lit.) down-growing stone (n)
undav-|to condemn, damn, convict (vb)
unda|lower, beneath (adj)
undo|less (adj pron)
undulav-|to drown, swallow, submerge, (lit.) lick down (vb)
undumë|abyss (n)
undu|down, under, [ᴹQ.] beneath (prep adv)
undómë|twilight, time near evening (n)
ungol|(monstrous) spider (n)
ungwë|spider’s web; ⚠️[ᴱQ.] spider; [ᴹQ.] gloom (n)
unqualë|death agony, torment, [ᴹQ.] agony, death (n)
unquë|hollow, [ᴹQ.] cavity, hole (n)
untup-|to cover (over or up), (lit.) to cover down (vb)
uomë|community (n)
uo|together (adv)
uo|together (adv)
ur(u)-|difficult, hard (pref)
ur(u)ma|coal, charcoal (n)
urcarne|hard to make / do (adj)
urco|bogey, orc (n)
urda|difficult, arduous, hard (adj)
urna|oven (n)
urnótima|*difficult to count (adj)
urpalda|stove plate (n)
urra|bad (adj)
urruxa|livid, furious, enraged, incensed, (lit.) hot-wroth (adj)
ursa-|to rage (vb)
ursa|rage (n)
urta-|to burn (vb)
urtu|death (n)
urucarin|made with difficulty (adj)
urucárima|hard to make / do (adj)
uruhanyaima|complicated, enigmatic, cryptic, hard to understand (adj)
uruhta-|to (cause to) smoke; to belch smoke (vb)
urulanya|wick, (lit.) fire-thread (n)
urulócë|fire-serpent, fire-drake, [ᴹQ.] fire-dragon (n)
urunóte|*difficult to count (adj)
urustamitta|copper-piece (n)
urustan|copper-smith (n)
urusta|of copper (adj)
urus|copper (n)
urwa|on fire, afire (adj)
urya-|to be hot; ⚠️[ᴹQ.] to blaze, [ᴱQ.] burn (intransitive) (vb)
us-|[wrong] with a bad sense; unsuitable, bad, improper, useless, wrong (pref)
us-|to escape, get out (vb)
uscarë|doing wrong (n)
uscil(lë)|cigarette (n)
usquë|[ᴹQ.] reek, *smoke; ⚠️[Q.] dusk, dim light, [ᴹQ.] twilight; [ᴱQ.] fog (n)
ussar|sulphur, (lit.) fire-stone (n)
ussa|incense (n)
ustat-|to misappropriate, supplant, usurp (vb)
ustya-|to smoke (intr.) (vb)
uswë|escape, issue, outlet (n)
uv-|*to be going to (vb)
uvassë|future tense, (lit.) uva-ness (n)
uxarë|doing wrong, *misdeed (n)
vacco|jacket, coat (n)
vailima|windy (adj)
vailë|[strong] wind, *gale (n)
vaimata-|to robe, *clothe; to get dressed, put on clothing (vb)
vaima|wrap, robe (n)
vaina|blonde, fair of hair (adj)
vaina²|clad (adj)
vaina¹|blonde, fair of hair (adj)
vainolë|quiver (n)
vainë|sheath, pod (n)
vaire|?wavy (adj)
vaiwë|wind (n)
vala-|to have [divine] power (vb)
valatëa|proud (adj)
valatë|pride (n)
valca|fierce, ferocious (adj)
valda-|to matter; to be of significance, worth, moment; *to cost (vb)
valda|excited, wild (adj)
valda|worth; worthy, dear (n adj)
valdima|essential, imperative (adj)
valdëa|of moment, important (adj)
valma|[divinely or righteously] powerful (adj)
valmë|authority (n)
valmë|excitement, emotion (n)
valta-|to excite, rouse, stir up (vb)
valwistë|change of mind (n)
valya-|to be excited (moved) (vb)
vana|fair-haired (yellow to golden) (adj)
vanda|oath, pledge, solemn promise (n)
vandil|staff (n)
vanessë|beauty (n)
vanga|staff (n)
vangwë|storm, *gale; ⚠️blow (n)
vanimalda|thou beautiful; ⚠️most beautiful, exceeding fair (adj)
vanima²|beautiful one, fair one (n)
vanima¹|beautiful, fair, *handsome; ⚠️[ᴱQ.] proper, right, as it should be, fair (adj)
vanimelda|beautiful and beloved, elven-fair (adj)
vanita-|to grow/become fair; to beautify, make fair/beautiful (vb)
vanië|beauty (n)
vanwalussë|past tense (n)
vanwa|gone, lost, departed, vanished, past, over, no longer to be had, passed away, dead, [ᴹQ.] gone for good; ⚠️[ᴱQ.] on the road (adj)
vanwiémar|museum, (lit.) hall of the past (n)
vanwë|loss (abstract/general) (n)
vanya-|to pass, [ᴹQ.] go, depart, disappear (vb)
vanya|fair, beautiful, unmarred; ⚠️fair-haired (yellow to golden); [ᴱQ.] good (not evil), holy (adj)
vanë|fair, [ᴱQ.] lovely (adj)
var-|to yield, give way, surrender (vb)
varanda|sublime (adj)
varassë|cliff (n)
varasta-|to tower up, loom (vb)
vardarianna|fragrant evergreen tree (n)
varma|armour, armor (n)
varno|protector, guard (n)
varnë|brown, russet; [ᴹQ.] swart, dark brown (adj)
varta-|to betray (vb)
vartando|betrayer (n)
vartië|betrayal (n)
varto|betrayer (n)
varyalë|defense (n)
varyando|protector (n)
var|*from, away to (adv)
vasarya-|to veil (vb)
vasar|veil (n)
vata|beaten track, pathway (n)
vatta-|to trample (vb)
va|(away) from, [ᴹQ.] away, [ᴱQ.] gone forth; ⚠️with (prep)
vecca|active (adj)
vehtequentalë|biography (n)
vehtë|[a span of] life; habitat, haunt (n)
vel-²|to meet (vb)
vel-¹|to boil, bubble (vb)
velca|large, great, big (adj)
velet|boil, tumor (n)
velu-|to unfurl (vb)
veluntë|sail (n)
velupantië|revelation (n)
velva|boiling, bubbling (adj)
velvë|bubble (n)
velyávë|gourd, Cucurbitaceae, the gourd family (n)
vembë|worm (n)
vendelis|nun (n)
vendelë|maidenhood (n)
vendesta|convent (n)
vendë|maiden, ⚠️*virgin (n)
vennassë|angle (n)
venta|chin (n)
venwa|lime (fruit) (n)
venya|ours (inclusive) (pron)
venë|dish, [eating] vessel, ⚠️small boat (n)
vequi|as if, as though (conj)
vercála|sudden, violent (adj)
verinu|married pair (collective-noun)
verin|married (adj)
veri|wife (n)
verrendo|brother in law, kinsman by marriage (n)
verressë|sister in law, kinswoman by marriage (n)
verta-|to give in marriage (a) to (b), take as husband or wife (to oneself) (vb)
verulóra|widowed; widow (adj n)
veru|husband (n)
verya-|to marry (of husband and wife), be joined to (vb)
veryandë|adventure, undertaking (n)
veryanwë|wedding (n)
vesquen|spouse (gender neutral) (n)
vesta-|to swear (to do something), contract, make a compact (vb)
vestaracië|adultery, (lit.) marriage-breaking (n)
vetta-|to witness (vb)
vetto|witness (n)
vettëa|witnessing (adj)
vettë|(act of) witnessing (n)
veuma|server (n)
veumë|service (n)
veuro|follower, vassal (n)
veuya-|to serve (vb)
veuyalë|service (n)
vev-|to serve (vb)
vevië|service (n)
ve²|us (inclusive) (pron)
ve¹|as, like, similar, after the manner [of]; ⚠️[ᴹQ.] with (prep)
vielóra|eunuch (n)
vilina|airy, breezy; light [weight?] (adj)
vilvarindëa|like a butterfly (adj)
vilvarin|butterfly (n)
vilva|fluttering to and fro (adj)
vilwis(të)|weather, (lit.) turn of air (n)
vilya|air, sky (n)
vin(i)-|neo- (pref)
vingil|[ᴹQ.] nymph, mermaid, foam-maid (n)
vingë|foam, spindrift, spray, [ᴹQ.] wave crest, [ᴱQ.] froth, scud; ⚠️wave (n)
vinima|childish (adj)
vinimetta|end of youth, *reaching middle age (n)
vinimo|baby, little-one (n)
vinquetta|neologism (n)
vinta-|to scatter, blow about (vb)
vinyahan|younger brother (n)
vinyamo|youngster (n)
vinyanet|younger sister (n)
vinyanóna|new-born (adj)
vinyar|news (n)
vinyarë|youth, *young adulthood (n)
vinya|young, new (adj)
vin|just, just now, only just, already (adv)
vircolca|basket, (lit.) woven-box (n)
virda|outcome, result (n)
virittë|gravel (n)
virya-|to change, alternate (vb)
virítë|various, variable (adj)
vista-|to change (transitive) (vb)
vistë|change (n)
vi|us (inclusive) (pron)
volta|volt (n)
voltië|voltage (n)
vor-|to endure, survive (vb)
vorimyalë|monotony (n)
voron(do)|trusty man, faithful vassal (n)
voronda|faithful, steadfast (in allegiance, in keeping oath or promise) (adj)
voronwë|steadfastness, loyalty, faith(fulness) (n)
vorotailë|procrastination, (lit.) ever-extension (n)
vorotaita-|procrastinate, (lit.) ever-prolong (vb)
vorta-|to preserve, make lasting (vb)
vortalë|preservation, maintenance (n)
voruhta-|to shun, (lit.) ever-avoid (vb)
voruva|age long (adj)
vorë|*always (adv)
vá-|negation (refusing or forbidden) (pref)
válë|divine power/authority (n)
váquet-|to refuse, forbid, prohibit; (lit.) to say no, to say ‘I will not or do not’ (vb)
váravalmë|scandal (n)
váva|*wind (n)
vávëa|(con)similar, alike (adj)
váya-|to blow (vb)
váya|ocean, [stormy] sea (n)
vá|will not, do not, shall not (interj adv)
vélamë|similarity (n)
véla|*alike, having a likeness or similarity (adj)
vénëa|*virginal (adj)
vénë|*virgin; ⚠️[ᴹQ.] girl (n)
vératanna|signature, (lit.) personal token (n)
véra|personal, private, own (adj)
véta-|to compare, liken (vb)
vétaima|comparable (adj)
vëalta-|to resemble (vb)
vëasta|comparison, ⚠️resemblance (n)
vëa²|wind (n)
vëa¹|seeming, apparent; ⚠️[ᴱQ.] similar, like (adj)
vëo|living creature, *living being, ⚠️[ᴹQ.] man (n)
vílë|gentle breeze (n)
vínë|youth, *childhood (n)
vírina|woven (adj)
vórima|faithful, *(lit.) able to endure; [ᴹQ.] continuous, enduring, repeated; ⚠️[ᴱQ.] everlasting (adj)
wa-|together (pref)
walda|worth; worthy, dear (adj)
walmë|excitement, emotion (n)
walta-|to excite, rouse, stir up (vb)
walwistë|change of mind (n)
walya-|to be excited (moved) (vb)
waya|ocean (n)
wendelë|maidenhood (n)
wendë|maiden (n)
wenya|fair, beautiful (adj)
were-|to weave (vb)
wilwarindëa|like a butterfly (adj)
wilwarin|butterfly (n)
wilwa|fluttering to and fro (adj)
wilya|air, sky (n)
win(i)cë|baby, little-one (n)
wing(a)|foam, spray (n)
wingil|*nymph, mermaid, foam-maid (n)
wingë|foam, spindrift, spray (n)
winima|childish (adj)
winimo|baby, little-one (n)
winta-|to scatter, blow about (vb)
winyamo|youngster (n)
winë|baby, little-one, ⚠️child not yet full grown (n)
wirnë|change (n)
wistë|change (n)
xiétë|passing, impermanent (adj)
xéya-|to pass (of time, intransitive) (vb)
xíta-|to pass, spend (time, transitive) (vb)
yac-|to offer, sacrifice (vb)
yacië|offering, [act of] sacrificing (n)
yaimëa|wailing (adj)
yaimë|wailing (n)
yaiya-|to wail, cry in pain, cry grievously (vb)
yal-|to summon, *call (out to) (vb)
yallo|whence (adv)
yallë|as, in the same way as, like (adv)
yalta|yoke (n)
yanca|sacrifice (n)
yanda|wide (adj)
yanen|whereby (adv)
yangwa|altar (n)
yanna|whither, whereto (adv)
yanta-²|to add to, enlarge, increase, augment (vb)
yanta-¹|to join (vb)
yantaina|joined (adj)
yanta|bridge (n)
yanwë|joining, [ᴹQ.] isthmus, ⚠️bridge (n)
yan|*as (conj adv)
yarië|antiquity (n)
yarra-|to growl, snarl (vb)
yarra|️growl, snarl (n)
yausta|crop (n)
yav-|to bear (fruit), *yield, bring forth, produce (vb)
yavannamírë|Jewel of Yavanna (n)
yava|whose, of which (adj)
yaxë|cow (n)
ya|which, that (relative pronoun) (pron)
yeldë|daughter (n)
yeniquanta|age (with no connotation of weakness) (adj)
yenta-|to adopt (a daughter) (vb)
yentaro|adoptive father (for a daughter) (n)
yentarë|adoptive mother (for a daughter) (n)
yermë|sexual desire (for marriage and procreation) (n)
yessë|beginning (n)
yesta-|to begin, *start (vb)
yestanyatsë|prefixion (n)
yesta|beginning, *start (n)
yestië|beginning (n)
ye|who (pron)
yo-|together (used in words describing the union of three or more things) (pref)
yocar-|to assemble, compose, construct (vb)
yol-|to smoulder (vb)
yola|neither, nor (adv)
yomencöa|synagogue, (lit.) meeting-house (n)
yomenië|meeting, gathering, *congress (n)
yonda²|wide, roomy, extensive (adj)
yonda¹|enclosed (adj)
yondo|son, ⚠️boy; [ᴱQ.] male descendant, (great) grandson (n)
yondë|region, any fairly extensive region with well-marked natural bounds (n)
yonna|enclosed (adj)
yonta-|to adopt (a son) (vb)
yontaro|adoptive father (for a son) (n)
yontarë|adoptive mother (for a son) (n)
yontil|boy, son [finger name] (n)
yonwa|fence, border, boundary (n)
yonyo|(big) boy, son (n)
yonávë|company, *companionship, camaraderie (n)
yor-|to enclose, set bounds to/about; *to include, contain (vb)
yosanwë|(pl.) congruence (n)
yo|both ... and (conj)
yu-|both, [ᴱQ.] twice (pref)
yuhta-|to use, employ (vb)
yuhtaimalë|usefulness (n)
yuhtaina|used (adj)
yuitë|dual (adj)
yul-|to drink (vb)
yulda²|drunk (adj)
yulda¹|drink, draught, thing drunk; ⚠️cup (n)
yullas|tea (n)
yullumë|twice, two times (adv)
yulma|cup, drinking vessel, drinking implement, ⚠️goblet (n)
yulmon|chalice (n)
yulmo|drinker (n)
yulmë|drinking, carousal (n)
yuluitë|drinking (as a habit), *aquatic (adj)
yulunefítë|amphibious, *(lit.) drinking-breathing (adj)
yunca|used (adj)
yungwa|appliance (n)
yungwë|usefulness (n)
yunquenta|thirteen (cardinal)
yunquentë|thirteen (cardinal)
yunquesta|*one twelfth (fraction)
yunquëa|twelfth (ordinal)
yunquë|twelve (cardinal)
yuquain tuxa|one hundred twenty (cardinal)
yuquain|twenty (cardinal)
yuqua|appliance (n)
yur-|to run (vb)
yutya-|to lend, loan (vb)
yácina|sacrificed (adj)
yána|wide, vast, huge (adj)
yárahan|older brother (n)
yáranet|older sister (n)
yáraquetta|archaism, archaic word (n)
yára|old, ancient, [ᴹQ.] belonging to or descending from former times (adj)
yáva|*fruit (n)
yávelóra|fruitless (adj)
yávinqua|fruitful (adj)
yáviérë|*autumn-day (n)
yávië|autumn, harvest [time or act] (n)
yávë|fruit (n)
yá|when (conj)
yénië|annals (n)
yén|Elvish long year (144 solar years) (n)
yé|lo!, what a ..., what is more (interj)
yëa|what is more (interj)
yó(m)|[together] with (prep)
yón|region (n)
yúla|neither, nor (adv)
yúlima|drinkable (adj)
yúquëan|twenty (cardinal)
yúyal|twilight (n)
yúyo|both (adj)
Úrimë|August, *Hot-one (n)
ála|do not (particle)
árinqua|sunny, (lit.) sunlight-full (adj)
árë nuquerna|árë-reversed (n)
árë|sunlight, warmth (especially of the sun); ⚠️day (n)
ásë|aid, benefit (n)
áva|don’t, negative imperative (particle)
áya|awe (n)
á|imperative particle (particle)
élicombë|galaxy, collection of stars (n)
él|star (n)
ëa-|to be, exist, [ᴹQ.] have being, be found extant in the real world (vb)
ëala|spirit (not incarnate), being (n)
ëarel|starfish, (lit.) sea-star (n)
ëarendur|(professional) mariner, *(lit.) servant of the sea (n)
ëaren|ocean, great sea (n)
ëarina|of the sea (adj)
ëarra|seal, sea lion (n)
ëarsil|pearl, (lit.) sea-sheen (n)
ëar|sea, great sea, [ᴹQ.] open sea; ⚠️water (n)
ëassar|pearl, (lit.) sea-pebble/stone (n)
ëasta|existence, being (n)
ëavëa|universal, natural (adj)
í-|e-, a prefix for electronic things like e-book (pref)
írima|desirable, lovely (adj)
írë|desire, [ᴹQ.] longing (n)
ítacelmëa|electrical (n)
ítacelmë|electricity (n)
ítacelmítë|electronic (n)
íta²|very, extremely; (lit.) multiplied, increased (adv)
íta¹|flash (n)
ívë|to cliff, sheer descent, precipice (n)
ñulma|mystery (n)
ócama-|*to have mercy (vb)
ócom-|to gather, assemble (vb)
óla-|to dream (impersonal) (vb)
ólamaitë|consonantal (adj)
ólama|consonant (n)
ólav-|to compromise (vb)
ólavië|compromise (n)
ólemë|elbow (n)
ólië|society, (lit.) together-people (n)
ólëo|society, (lit.) together-people (n)
óma-tengwë|vowel-sign (n)
óman|vowel (n)
ómatailë|vowel lengthening (n)
ómataima|vocalic extension (n)
ómataina|vocalic extension (n)
ómatehta|vowel-sign (n)
óma|voice, resonance of the vocal chords, vowel (n)
ómen|crossroads (n)
ómëa|vowel; [ᴹQ.] voiced (n adj)
ópa|mouth (opening of which the lips are the edges) (n)
órava-|*to have mercy (vb)
óricuva|traitor (n)
óricuvoitë|uncommunicative, keeping one’s own counsel (not necessarily sinister) (adj)
óripanta|sincere, honest, open, (lit.) open-hearted (adj)
órë|heart (inner mind), *conscience; warning, caution, (pre)monition (n)
ósana-|to counsel, think together (vb)
ósanwë|communication of thought, interchange of thought; (lit.) thinking together (dual) (n)
ósat-|to share (vb)
ó|with (prep)
öa-|to possess, own, keep (vb)
öamo|owner (n)
öapsar-|to wipe away (vb)
öar|away from (adv)
öatarië|apostasy, (lit.) away-standing (n)
öa|away (of movement) (adv)
ú pusto|immediately, at once, (lit.) without pause (adv)
ú-|no, not, un-, in-; hard, difficult, bad, uneasy; hardly, with difficulty, ‘badly’ (pref)
úcalima|dim, murky, *not bright (adj)
úcar-|*to trespass, do wrong, sin (vb)
úcarindo|*sinner (n)
úcarindë|sinner (f.) (n)
úcarnë|not red (adj)
úcarunqua|sinful (adj)
úcarë|*sin, debt, trespass (n)
úcim-|disregard (vb)
úcárima|*undoable, unmakeable; ⚠️hard to do, difficult (adj)
úcénima|invisible (adj)
úfailië|unrighteousness (n)
úfantima|not concealable (adj)
úfantuma|not concealable (adj)
úfanwëa|not veiled, unveiled (adj)
úhandëa|witless (adj)
úhandë|unreason, incomprehension (n)
úharin|unmarred (adj)
úhep-|to lose, (lit.) to un-keep (vb)
úhepië|loss (n)
úlaita-|to dishonour (vb)
úlaitima|disgraceful, dishonourable (adj)
úlanwa|infinity, infinite (n adj)
úlumë|ever, at all times (in a series or period) (adv)
úlévima|paralyzed, ⚠️lame (adj)
úma-|to teem (vb)
úmaia|demon, devil (n)
úmaitë|clumsy(-handed), unskilled (adj)
úmara|bad, ill-used, evil, sinister (adj)
úmárë|not good = evil (n)
úmëa|abundant, swarming, teeming; ⚠️[ᴹQ.] in very great number, very large, [ᴱQ.] large (adj)
úmë|great collection or crowd of things of the same sort; [ᴹQ.] abundance, ⚠️great quantity; [Q.] throng (n)
únat|thing impossible to be or to be done (n)
úna¹|deprived of, destitute, forlorn (adj)
únehta|*atom (n)
únet-|to lose, (lit.) to un-get (vb)
únomë|nowhere (pron)
únotë(a)|not counted, uncounted (adj)
únut-|to untie (vb)
únyárima|impossible to recount (adj)
únótima|numberless, innumerable, countless, difficult/impossible to count (adj)
úoio|never (adv)
úpa-|[unglossed] (vb)
úpahtëa|speechless (adj)
úpartalë|unorder, *disorder (n)
úpa|dumb [unable to speak] (adj)
úperima|indivisible (adj)
úpoica|unclean (adj)
úpuhta-|to fornicate (vb)
úpuhtalë|fornication (n)
úpuhtië|adultery (n)
úqua|nothing (pron)
úquen|nobody, no one (pron)
úquétima|unspeakable, impossible to say or put into words, unpronounceable (adj)
úra²|torrid, sultry, unpleasantly hot (adj)
úra¹|nasty (adj)
úrin|(blazing) hot (adj)
úro|*evil, nastiness (n)
úruva|fiery, [ᴱQ.] like fire (adj)
úr|heat (n)
úrë|heat (n)
úsahtando|tempter (n)
úsahtië|inducement to do wrong, *temptation (n)
úsir|on the contrary (conj)
úsië|on the contrary (conj)
útancië|uncertainty (n)
útulma|accident, (lit.) bad-event (n)
útulya-|to mislead (vb)
útulyando|deceiver, (lit.) mis-leader (n)
útúrima|unruly (adj)
úva-|to impend, be imminent, draw near (vb)
úvana|marred (adj)
úvanima|not fair, ugly; hard to call beautiful, hideous (adj)
úvanimo|monster, corrupt or evil creature (n)
úvano|monster, corrupt or evil creature (n)
úvanë(a)|without beauty (adj)
úvië|pondering, consideration, [ᴹQ.] considering a matter (with a view to decision) (n)
úyalë|twilight (n)
ú²|not (particle)
ú¹|without, destitute of (prep adv)
úχarin|unmarred (adj)
þelma|fixed idea, will (n)
þolon|helmet (n)
þorya-|to dread, feel fear (vb)
þossë|fear (n)
þosta-|to put to fright, terrify (vb)
þur-|*to seek (vb)
þurië|*(an act of) seeking (n)
þáquet-|to say ‘yes’, I will, agree (to do) (vb)
þá|I agree of course, of course I do (adv)
þúlë|spirit (n)
χarina|marred (adj)
